ID,Name,Rarity,Category,Sell,Buy
60,Flash Pod,2,Support Items,57,572
61,Screamer Pod,2,Support Items,45,450
62,Smoke Bomb,2,Support Items,44,100
63,Poison Smoke Bomb,2,Support Items,60,600
64,Farcaster,3,Support Items,30,150
65,Raw Meat,1,Support Items,5,50
66,Poisoned Meat,2,Support Items,19,188
67,Tinged Meat,2,Support Items,30,300
68,Drugged Meat,2,Support Items,32,315
69,Gunpowder,2,Support Items,45,90
70,Small Barrel,1,Support Items,8,80
71,Barrel Bomb,2,Support Items,16,156
72,Bounce Bomb,2,Support Items,18,150
73,Mega Bounce Bomb,4,Support Items,68,680
74,Large Barrel,2,Support Items,21,210
75,Large Barrel Bomb,3,Support Items,52,518
76,Mega Barrel Bomb,4,Support Items,80,800
77,Spider Web,1,Support Items,6,60
78,Net,2,Support Items,54,108
79,Trap Tool,3,Support Items,20,200
80,Pitfall Trap,3,Support Items,200,400
81,Shock Trap,3,Support Items,160,320
82,Rolled-up Dung,1,Support Items,10,100
83,Dung,1,Support Items,1,10
84,Dung Pod,2,Support Items,20,120
85,Arowana Bait,2,Support Items,15,150
86,Gunpowderfish Bait,2,Support Items,15,150
87,Goldenfish Bait,2,Support Items,30,300
88,Boomerang,4,Support Items,15,150
89,Binoculars,1,Support Items,5,50
90,Powercharm,5,Support Items,3600,36000
91,Powertalon,5,Support Items,6840,68400
92,Armorcharm,5,Support Items,2400,24000
93,Armortalon,5,Support Items,5040,50400
94,Needleberry,1,Support Items,1,22
95,Blastnut,1,Support Items,4,40
96,Dragonstrike Nut,2,Support Items,12,60
97,Slashberry,1,Support Items,4,40
98,Latchberry,1,Support Items,4,40
99,Bomberry,2,Support Items,12,60
100,Flamenut,2,Support Items,12,60
101,Blazenut,2,Support Items,12,60
102,Gunpowder Level 2,2,Support Items,1,16
103,Gunpowder Level 3,2,Support Items,3,30
104,Whetfish Fin,2,Support Items,45,135
105,Whetfish Fin+,4,Support Items,45,135
106,Sushifish Scale,2,Support Items,45,90
107,Great Sushifish Scale,4,Support Items,45,90
108,Gunpowderfish Scale,3,Support Items,150,300
109,Great Gunpowderfish Scale,4,Support Items,150,300
110,Burst Arowana Scale,2,Support Items,45,90
111,Great Burst Arowana Scale,4,Support Items,45,90
112,Bomb Arowana Scale,2,Support Items,135,270
113,Great Bomb Arowana Scale,4,Support Items,135,270
114,Whetstone,4,Fixed Items,0,0
115,Capture Net,4,Fixed Items,0,0
116,Fishing Rod,4,Fixed Items,0,0
117,BBQ Spit,4,Fixed Items,0,0
118,Ghillie Mantle,4,Specialized Tools,0,0
119,Temporal Mantle,4,Specialized Tools,0,0
120,Health Booster,4,Specialized Tools,0,0
121,Rocksteady Mantle,4,Specialized Tools,0,0
122,Challenger Mantle,4,Specialized Tools,0,0
123,Vitality Mantle,4,Specialized Tools,0,0
124,Fireproof Mantle,4,Specialized Tools,0,0
125,Waterproof Mantle,4,Specialized Tools,0,0
126,Iceproof Mantle,4,Specialized Tools,0,0
127,Thunderproof Mantle,4,Specialized Tools,0,0
128,Dragonproof Mantle,4,Specialized Tools,0,0
129,Cleanser Booster,4,Specialized Tools,0,0
130,Glider Mantle,4,Specialized Tools,0,0
131,Evasion Mantle,4,Specialized Tools,0,0
132,Impact Mantle,4,Specialized Tools,0,0
133,Apothecary Mantle,4,Specialized Tools,0,0
134,Immunity Mantle,4,Specialized Tools,0,0
135,Affinity Booster,4,Specialized Tools,0,0
136,Bandit Mantle,4,Specialized Tools,0,0
137,Normal Ammo 1,4,Ammo,0,0
138,Normal Ammo 2,2,Ammo,1,3
139,Normal Ammo 3,3,Ammo,2,5
140,Pierce Ammo 1,1,Ammo,2,4
141,Pierce Ammo 2,2,Ammo,2,8
142,Pierce Ammo 3,3,Ammo,3,12
143,Spread Ammo 1,1,Ammo,1,4
144,Spread Ammo 2,2,Ammo,2,8
145,Spread Ammo 3,3,Ammo,2,12
146,Sticky Ammo 1,1,Ammo,2,12
147,Sticky Ammo 2,2,Ammo,3,24
148,Sticky Ammo 3,3,Ammo,4,36
149,Cluster Bomb 1,2,Ammo,6,30
150,Cluster Bomb 2,3,Ammo,6,60
151,Cluster Bomb 3,4,Ammo,10,90
152,Flaming Ammo,2,Ammo,2,20
153,Water Ammo,2,Ammo,2,20
154,Thunder Ammo,2,Ammo,2,20
155,Freeze Ammo,2,Ammo,2,20
156,Dragon Ammo,3,Ammo,10,100
157,Poison Ammo 1,2,Ammo,2,15
158,Poison Ammo 2,3,Ammo,2,30
159,Paralysis Ammo 1,2,Ammo,3,15
160,Paralysis Ammo 2,3,Ammo,5,30
161,Sleep Ammo 1,2,Ammo,2,15
162,Sleep Ammo 2,3,Ammo,3,30
163,Exhaust Ammo 1,2,Ammo,3,15
164,Exhaust Ammo 2,3,Ammo,5,30
165,Recover Ammo 1,2,Ammo,2,8
166,Recover Ammo 2,3,Ammo,2,15
167,Wyvern Ammo,3,Ammo,6,62
168,Slicing Ammo,2,Ammo,3,12
169,Tranq Ammo,3,Ammo,4,45
170,Demon Ammo,4,Ammo,9,1
171,Armor Ammo,4,Ammo,7,1
172,(None),1,(None),0,0
173,Close-range Coating,4,Ammo,0,0
174,Empty Phial,1,Ammo,1,5
175,Power Coating,2,Ammo,2,20
176,Poison Coating,3,Ammo,2,17
177,Paralysis Coating,3,Ammo,3,26
178,Sleep Coating,3,Ammo,2,17
179,Exhaust Coating,4,Ammo,2,19
180,Blast Coating,3,Ammo,6,20
181,First-aid Med,1,Supply Items,0,1
182,First-aid Med+,2,Supply Items,0,1
183,EZ Ration,1,Supply Items,0,1
184,EZ Lifepowder,2,Supply Items,0,1
185,EZ Max Potion,2,Supply Items,0,1
186,EZ Large Barrel Bomb,3,Supply Items,0,1
187,EZ Shock Trap,3,Supply Items,0,1
188,EZ Pitfall Trap,3,Supply Items,0,1
189,EZ Herbal Powder,4,Supply Items,0,1
190,EZ Demon Powder,4,Supply Items,0,1
191,EZ Hardshell Powder,4,Supply Items,0,1
192,EZ Dung Pod,2,Supply Items,0,1
193,EZ Flash Pod,2,Supply Items,0,1
194,EZ Screamer Pod,2,Supply Items,0,1
195,Throwing Knife,1,Supply Items,0,1
196,Poison Knife,2,Supply Items,0,1
197,Sleep Knife,2,Supply Items,0,1
198,Paralysis Knife,2,Supply Items,0,1
199,Tranq Knife,3,Supply Items,0,1
200,EZ Farcaster,3,Supply Items,0,1
201,EZ Tranq Bomb,3,Supply Items,0,1
202,Ballista Ammo,4,Supply Items,0,1
203,One-shot Binder,4,Supply Items,0,1
204,Cannon Ammo,4,Supply Items,0,0
205,Iron Ore,4,Materials,60,600
206,Machalite Ore,4,Materials,160,1600
207,Dragonite Ore,4,Materials,480,4800
208,Carbalite Ore,6,Materials,680,6800
209,Fucium Ore,6,Materials,1020,10200
210,Earth Crystal,4,Materials,80,800
211,Coral Crystal,4,Materials,600,6000
212,Dragonvein Crystal,6,Materials,800,800
213,Lightcrystal,5,Materials,1150,11500
214,Novacrystal,7,Materials,2440,24400
215,Firecell Stone,7,Materials,1720,17200
216,Aquacore Ore,4,Materials,400,4000
217,Spiritcore Ore,6,Materials,800,8000
218,Dreamcore Ore,7,Materials,1200,12000
219,Dragoncore Ore,8,Materials,2000,20000
220,Armor Sphere,4,Materials,80,800
221,Armor Sphere+,5,Materials,200,2000
222,Advanced Armor Sphere,6,Materials,300,3000
223,Hard Armor Sphere,7,Materials,400,4000
224,Heavy Armor Sphere,8,Materials,600,6000
225,Sturdy Bone,4,Materials,500,5000
226,Quality Bone,6,Materials,750,7500
227,Ancient Bone,4,Materials,400,4000
228,Boulder Bone,4,Materials,400,4000
229,Coral Bone,4,Materials,800,8000
230,Warped Bone,4,Materials,800,8000
231,Brutal Bone,6,Materials,1200,12000
232,Dragonbone Relic,7,Materials,1600,12000
233,Unknown Skull,7,Materials,1800,18000
234,Great Hornfly,5,Materials,200,2000
235,Sinister Cloth,5,Materials,350,3500
236,Monster Bone S,4,Materials,30,300
237,Monster Bone M,4,Materials,300,3000
238,Monster Bone L,4,Materials,400,4000
239,Monster Bone+,4,Materials,500,5000
240,Monster Keenbone,6,Materials,800,8000
241,Monster Hardbone,6,Materials,1200,12000
242,Elder Dragon Bone,7,Materials,1600,16000
243,Sharp Claw,4,Materials,200,2000
244,Piercing Claw,6,Materials,800,8000
245,Monster Fluid,4,Materials,200,2000
246,Monster Broth,6,Materials,800,8000
247,Poison Sac,4,Materials,600,6000
248,Toxin Sac,6,Materials,1600,16000
249,Paralysis Sac,4,Materials,800,8000
250,Omniplegia Sac,6,Materials,1600,16000
251,Sleep Sac,4,Materials,800,8000
252,Coma Sac,6,Materials,1600,16000
253,Flame Sac,4,Materials,800,8000
254,Inferno Sac,6,Materials,1600,16000
255,Aqua Sac,4,Materials,600,6000
256,Torrent Sac,6,Materials,1600,16000
257,Frost Sac,4,Materials,1000,10000
258,Freezer Sac,6,Materials,2400,24000
259,Electro Sac,4,Materials,1000,10000
260,Thunder Sac,6,Materials,1600,16000
261,Bird Wyvern Gem,7,Materials,4000,40000
262,Wyvern Gem,7,Materials,4000,40000
263,Elder Dragon Blood,7,Materials,1600,16000
264,Mosswine Hide,4,Materials,200,2000
265,Warm Pelt,4,Materials,120,1200
266,High-quality Pelt,6,Materials,320,3200
267,Vespoid Shell,4,Materials,160,1600
268,Vespoid Carapace,6,Materials,460,4600
269,Vespoid Wing,4,Materials,210,2100
270,Vespoid Innerwing,6,Materials,560,5600
271,Hornetaur Shell,4,Materials,260,2600
272,Hornetaur Wing,4,Materials,310,3100
273,Hornetaur Head,4,Materials,360,3600
274,Hornetaur Carapace,6,Materials,560,5600
275,Hornetaur Innerwing,6,Materials,660,6600
276,Gajau Skin,4,Materials,220,2200
277,Gajau Whisker,4,Materials,270,2700
278,Gajau Scale,6,Materials,420,4200
279,Grand Gajau Whisker,6,Materials,520,5200
280,Wingdrake Hide,4,Materials,180,1800
281,Wingdrake Hide+,6,Materials,380,3800
282,Barnos Hide+,6,Materials,720,7200
283,Barnos Talon,6,Materials,820,8200
284,Kestodon Shell,4,Materials,180,1800
285,Kestodon Scalp,4,Materials,230,2300
286,Kestodon Carapace,6,Materials,430,4300
287,Gastodon Carapace,6,Materials,760,7600
288,Gastodon Horn,6,Materials,860,8600
289,Jagras Scale,4,Materials,140,1400
290,Jagras Hide,4,Materials,180,1800
291,Jagras Scale+,6,Materials,340,3400
292,Jagras Hide+,6,Materials,480,4800
293,Shamos Scale,4,Materials,220,2200
294,Shamos Hide,4,Materials,280,2800
295,Shamos Scale+,6,Materials,420,4200
296,Shamos Hide+,6,Materials,480,4800
297,Girros Scale,4,Materials,240,2400
298,Girros Hide,4,Materials,300,3000
299,Girros Fang,4,Materials,260,2600
300,Girros Scale+,6,Materials,460,4600
301,Girros Hide+,6,Materials,520,5200
302,Great Jagras Scale,4,Materials,260,260
303,Great Jagras Hide,4,Materials,360,360
304,Great Jagras Mane,4,Materials,440,440
305,Great Jagras Claw,4,Materials,420,420
306,Great Jagras Scale+,6,Materials,860,860
307,Great Jagras Hide+,6,Materials,1220,1220
308,Great Jagras Claw+,6,Materials,1620,1620
309,Kulu-Ya-Ku Scale,4,Materials,290,290
310,Kulu-Ya-Ku Hide,4,Materials,390,390
311,Kulu-Ya-Ku Plume,4,Materials,460,460
312,Kulu-Ya-Ku Beak,4,Materials,490,490
313,Kulu-Ya-Ku Scale+,6,Materials,890,890
314,Kulu-Ya-Ku Hide+,6,Materials,1290,1290
315,Kulu-Ya-Ku Plume+,6,Materials,1660,1660
316,Kulu-Ya-Ku Beak+,6,Materials,1660,1660
317,Pukei-Pukei Scale,4,Materials,360,360
318,Pukei-Pukei Shell,4,Materials,470,470
319,Pukei-Pukei Quill,4,Materials,640,640
320,Pukei-Pukei Sac,4,Materials,660,660
321,Pukei-Pukei Tail,4,Materials,620,620
322,Pukei-Pukei Scale+,6,Materials,950,950
323,Pukei-Pukei Carapace,6,Materials,1350,1350
324,Pukei-Pukei Wing,6,Materials,1700,1700
325,Pukei-Pukei Sac+,6,Materials,1750,1750
326,Barroth Shell,4,Materials,330,330
327,Barroth Ridge,4,Materials,480,480
328,Barroth Claw,4,Materials,630,630
329,Barroth Scalp,4,Materials,870,870
330,Barroth Tail,4,Materials,800,800
331,Fertile Mud,4,Materials,390,390
332,Barroth Carapace,6,Materials,870,870
333,Barroth Ridge+,6,Materials,1270,1270
334,Barroth Claw+,6,Materials,1670,1670
335,Jyuratodus Scale,4,Materials,340,340
336,Jyuratodus Shell,4,Materials,490,490
337,Jyuratodus Fang,4,Materials,640,640
338,Jyuratodus Fin,4,Materials,720,720
339,Jyuratodus Scale+,6,Materials,1040,1040
340,Jyuratodus Carapace,6,Materials,1540,1540
341,Jyuratodus Fang+,6,Materials,2040,2040
342,Jyuratodus Fin+,6,Materials,2120,2120
343,Tobi-Kadachi Scale,4,Materials,360,360
344,Tobi-Kadachi Pelt,4,Materials,510,510
345,Tobi-Kadachi Membrane,4,Materials,800,800
346,Tobi-Kadachi Claw,4,Materials,660,660
347,Tobi-Kadachi Electrode,4,Materials,720,720
348,Tobi-Kadachi Scale+,6,Materials,1050,1050
349,Tobi-Kadachi Pelt+,6,Materials,1550,1550
350,Tobi-Kadachi Claw+,6,Materials,1650,1650
351,Tobi-Kadachi Electrode+,6,Materials,1750,1750
352,Anjanath Scale,4,Materials,430,430
353,Anjanath Pelt,4,Materials,630,630
354,Anjanath Fang,4,Materials,830,830
355,Anjanath Nosebone,4,Materials,890,890
356,Anjanath Tail,4,Materials,860,860
357,Anjanath Plate,5,Materials,2400,2400
358,Anjanath Scale+,6,Materials,1060,1060
359,Anjanath Pelt+,6,Materials,1560,1560
360,Anjanath Fang+,6,Materials,2060,2060
361,Anjanath Nosebone+,6,Materials,2120,2120
362,Anjanath Gem,7,Materials,6000,6000
363,Rathian Scale,4,Materials,460,460
364,Rathian Shell,4,Materials,660,660
365,Rathian Webbing,4,Materials,860,860
366,Rathian Spike,4,Materials,980,980
367,Rathian Plate,5,Materials,2400,2400
368,Rathian Scale+,6,Materials,1060,1060
369,Rathian Carapace,6,Materials,1560,1560
370,Rathian Spike+,6,Materials,2240,2240
371,Rathian Ruby,7,Materials,6000,6000
372,Pink Rathian Scale+,6,Materials,1260,1260
373,Pink Rathian Carapace,6,Materials,1860,1860
374,Tzitzi-Ya-Ku Scale,4,Materials,440,440
375,Tzitzi-Ya-Ku Hide,4,Materials,640,640
376,Tzitzi-Ya-Ku Claw,4,Materials,840,840
377,Tzitzi-Ya-Ku Photophore,4,Materials,920,920
378,Tzitzi-Ya-Ku Scale+,6,Materials,840,840
379,Tzitzi-Ya-Ku Hide+,6,Materials,1240,1240
380,Tzitzi-Ya-Ku Claw+,6,Materials,1640,1640
381,Tzitzi-Ya-Ku Photophore+,6,Materials,1680,1680
382,Paolumu Pelt,4,Materials,650,650
383,Paolumu Scale,4,Materials,450,450
384,Paolumu Shell,4,Materials,950,950
385,Paolumu Webbing,4,Materials,850,850
386,Paolumu Pelt+,6,Materials,1570,1570
387,Paolumu Scale+,6,Materials,1070,1070
388,Paolumu Carapace+,6,Materials,2140,2140
389,Paolumu Wing,6,Materials,2070,2070
390,Great Girros Scale,4,Materials,450,450
391,Great Girros Hide,4,Materials,650,650
392,Great Girros Hood,4,Materials,950,950
393,Great Girros Fang,4,Materials,750,750
394,Great Girros Tail,4,Materials,850,850
395,Great Girros Scale+,6,Materials,1060,1060
396,Great Girros Hide+,6,Materials,1560,1560
397,Great Girros Hood+,6,Materials,2180,2180
398,Great Girros Fang+,6,Materials,2060,2060
399,Radobaan Scale,4,Materials,480,480
400,Radobaan Shell,4,Materials,680,680
401,Radobaan Oilshell,4,Materials,960,960
402,Wyvern Bonemass,4,Materials,880,880
404,Radobaan Marrow,4,Materials,1120,1120
405,Radobaan Scale+,6,Materials,1080,1080
406,Radobaan Carapace,6,Materials,1580,1580
407,Radobaan Medulla,6,Materials,2240,2240
408,Legiana Scale,4,Materials,540,540
409,Legiana Hide,4,Materials,790,790
410,Legiana Claw,4,Materials,1040,1040
411,Legiana Webbing,4,Materials,1080,1080
412,Legiana Tail Webbing,4,Materials,1160,1160
413,Legiana Plate,5,Materials,3000,3000
414,Legiana Scale+,6,Materials,1230,1230
415,Legiana Hide+,6,Materials,1830,1830
416,Legiana Claw+,6,Materials,2430,2430
417,Legiana Wing,6,Materials,2460,2460
418,Legiana Gem,7,Materials,7200,7200
419,Odogaron Scale,4,Materials,560,560
420,Odogaron Sinew,4,Materials,810,810
421,Odogaron Claw,4,Materials,1060,1060
422,Odogaron Fang,4,Materials,1120,1120
423,Odogaron Tail,4,Materials,1240,1240
424,Odogaron Plate,5,Materials,3000,3000
425,Odogaron Scale+,6,Materials,1240,1240
426,Odogaron Sinew+,6,Materials,1840,1840
427,Odogaron Claw+,6,Materials,2440,2440
428,Odogaron Fang+,6,Materials,2480,2480
429,Odogaron Gem,7,Materials,7200,7200
430,Rathalos Scale,4,Materials,590,590
431,Rathalos Shell,4,Materials,840,840
432,Rathalos Webbing,4,Materials,1180,1180
433,Rathalos Tail,4,Materials,1270,1270
434,Rath Wingtalon,4,Materials,1090,1090
435,Rathalos Marrow,4,Materials,1360,1360
436,Rathalos Plate,5,Materials,3000,3000
437,Rathalos Scale+,6,Materials,1250,1250
438,Rathalos Carapace,6,Materials,1850,1850
439,Rathalos Wing,6,Materials,2500,2500
440,Rathalos Medulla,6,Materials,2600,2600
441,Rathalos Ruby,7,Materials,7200,7200
442,Azure Rathalos Scale+,6,Materials,1450,1450
443,Azure Rathalos Carapace,6,Materials,2150,2150
444,Azure Rathalos Tail,6,Materials,3000,3000
445,Azure Rathalos Wing,6,Materials,2850,2850
446,Diablos Shell,4,Materials,620,620
447,Diablos Ridge,4,Materials,870,870
448,Diablos Tailcase,4,Materials,1240,1240
449,Diablos Fang,4,Materials,1120,1120
450,Twisted Horn,4,Materials,1360,1360
451,Diablos Marrow,4,Materials,1480,1480
452,Diablos Carapace,6,Materials,1260,1260
453,Diablos Ridge+,6,Materials,1860,1860
454,Majestic Horn,6,Materials,2980,2980
455,Blos Medulla,6,Materials,3040,3040
456,Black Diablos Carapace,6,Materials,1450,1450
457,Black Diablos Ridge+,6,Materials,2150,2150
458,Black Spiral Horn+,6,Materials,5700,5700
459,Kirin Hide,4,Materials,750,750
460,Kirin Tail,4,Materials,1000,1000
461,Kirin Mane,4,Materials,1250,1250
462,Kirin Thunderhorn,4,Materials,1750,1750
463,Kirin Hide+,7,Materials,1630,1630
464,Kirin Thundertail,7,Materials,2430,2430
465,Kirin Azure Horn,7,Materials,3200,3200
467,Zorah Magdaros Heat Scale,6,Materials,800,800
468,Zorah Magdaros Carapace,6,Materials,1200,1200
469,Zorah Magdaros Ridge,6,Materials,1400,1400
470,Zorah Magdaros Pleura,6,Materials,1600,1600
472,Zorah Magdaros Magma,6,Materials,3200,3200
473,Zorah Magdaros Gem,7,Materials,6000,6000
474,Dodogama Scale+,6,Materials,1030,1030
475,Dodogama Hide+,6,Materials,1530,1530
476,Dodogama Jaw,6,Materials,2120,2120
477,Dodogama Talon,6,Materials,2060,2060
478,Dodogama Tail,6,Materials,2210,2210
479,Lavasioth Scale+,6,Materials,1280,1280
480,Lavasioth Carapace,6,Materials,1880,1880
481,Lavasioth Fang+,6,Materials,2480,2480
482,Lavasioth Fin+,6,Materials,2560,2560
483,Uragaan Scale+,6,Materials,1460,1460
484,Uragaan Carapace,6,Materials,2160,2160
485,Uragaan Jaw,6,Materials,2980,2980
486,Uragaan Scute,6,Materials,2880,2880
487,Uragaan Marrow,6,Materials,3100,3100
488,Uragaan Ruby,7,Materials,8400,8400
489,Lava Nugget,6,Materials,1580,1580
490,Bazelgeuse Scale+,6,Materials,1600,1600
491,Bazelgeuse Carapace,6,Materials,2400,2400
492,Bazelgeuse Tail,6,Materials,3600,3600
493,Bazelgeuse Fuse,6,Materials,4000,4000
494,Bazelgeuse Talon,6,Materials,3200,3200
495,Bazelgeuse Wing,6,Materials,3400,3400
496,Bazelgeuse Gem,7,Materials,9600,9600
497,Immortal Dragonscale,7,Materials,2100,2100
498,Nergigante Carapace,7,Materials,3200,3200
500,Nergigante Tail,7,Materials,4300,4300
501,Nergigante Horn+,7,Materials,5000,5000
502,Nergigante Talon,7,Materials,4500,4500
503,Nergigante Regrowth Plate,7,Materials,3400,3400
504,Nergigante Gem,8,Materials,12000,12000
505,Deceased Scale,7,Materials,2250,2250
506,Vaal Hazak Carapace,7,Materials,3350,3350
507,Vaal Hazak Membrane,7,Materials,3500,3500
508,Vaal Hazak Tail,7,Materials,4900,4900
509,Vaal Hazak Fang+,7,Materials,4600,4600
510,Vaal Hazak Talon,7,Materials,4750,4750
511,Vaal Hazak Wing,7,Materials,4450,4450
513,Vaal Hazak Gem,8,Materials,12000,12000
514,Teostra Carapace,7,Materials,3400,3400
515,Teostra Mane,7,Materials,3400,3400
516,Teostra Tail,7,Materials,4900,4900
517,Teostra Horn+,7,Materials,5500,5500
518,Fire Dragon Scale+,7,Materials,2300,2300
519,Teostra Claw+,7,Materials,4700,4700
520,Teostra Webbing,7,Materials,4500,4500
521,Teostra Powder,7,Materials,3600,3600
522,Teostra Gem,8,Materials,12000,12000
523,Daora Carapace,7,Materials,3300,3300
524,Daora Dragon Scale+,7,Materials,2200,2200
525,Daora Webbing,7,Materials,4300,4300
526,Daora Horn+,7,Materials,4500,4500
527,Daora Tail,7,Materials,4800,4800
528,Daora Claw+,7,Materials,4400,4400
529,Daora Gem,8,Materials,12000,12000
530,Xeno'jiiva Soulscale,7,Materials,3000,3000
531,Xeno'jiiva Shell,7,Materials,4000,4000
532,Xeno'jiiva Veil,7,Materials,4300,4300
533,Xeno'jiiva Tail,7,Materials,6000,6000
534,Xeno'jiiva Horn,7,Materials,5600,5600
535,Xeno'jiiva Claw,7,Materials,5300,5300
536,Xeno'jiiva Wing,7,Materials,5000,5000
538,Xeno'jiiva Gem,8,Materials,15000,15000
539,??? Scale,7,Materials,3000,3000
540,??? Shell,7,Materials,4000,4000
541,??? Membrane,7,Materials,4300,4300
542,??? Tail,7,Materials,6000,6000
543,??? Horn,7,Materials,5600,5600
544,??? Claw,7,Materials,5300,5300
545,??? Wing,7,Materials,5000,5000
546,??? Crystal,7,Materials,4320,4320
547,??? Gem,8,Materials,15000,15000
548,Mysterious Feystone,4,Materials,25,90
549,Glowing Feystone,5,Materials,25,90
550,Worn Feystone,6,Materials,25,90
551,Warped Feystone,7,Materials,25,90
552,Sullied Streamstone,6,Materials,25,90
553,Shining Streamstone,8,Materials,25,90
554,Streamstone Shard,6,Materials,1000,10000
555,Streamstone,7,Materials,2000,20000
556,Gleaming Streamstone,8,Materials,3000,30000
557,Warrior's Streamstone: Sword,6,Materials,10000,100000
558,Warrior's Streamstone: Blade,6,Materials,10000,100000
559,Warrior's Streamstone: Hammer,6,Materials,10000,100000
560,Warrior's Streamstone: Lance,6,Materials,10000,100000
561,Warrior's Streamstone: Axe,6,Materials,10000,100000
562,Warrior's Streamstone: Shaft,6,Materials,10000,100000
563,Warrior's Streamstone: Ranged,6,Materials,10000,100000
564,Hero's Streamstone: Sword,8,Materials,20000,200000
565,Hero's Streamstone: Blade,8,Materials,20000,200000
566,Hero's Streamstone: Hammer,8,Materials,20000,200000
567,Hero's Streamstone: Lance,8,Materials,20000,200000
568,Hero's Streamstone: Axe,8,Materials,20000,200000
569,Hero's Streamstone: Shaft,8,Materials,20000,200000
570,Hero's Streamstone: Ranged,8,Materials,20000,200000
571,Voucher,4,Materials,500,5000
572,First Wyverian Print,4,Materials,0,1
573,Deluxe First Wyverian Print,4,Materials,0,1
574,Steel Wyverian Print,4,Materials,0,1
575,Silver Wyverian Print,4,Materials,0,1
576,Gold Wyverian Print,4,Materials,0,1
577,Commendation,5,Materials,0,1
578,High Commendation,7,Materials,0,1
579,Research Commission Ticket,7,Materials,0,1
580,Pukei Coin,4,Materials,500,5000
581,Kulu Coin,4,Materials,500,5000
582,Rathian Coin,4,Materials,500,5000
583,Tzitzi Coin,4,Materials,800,8000
584,Barroth Coin,4,Materials,800,8000
585,Gama Coin,4,Materials,800,8000
586,Rathalos Coin,4,Materials,800,8000
587,Brute Coin,4,Materials,1500,15000
588,Flying Coin,4,Materials,1500,15000
589,Pinnacle Coin,4,Materials,800,8000
590,Hunter King Coin,6,Materials,1200,12000
591,Ace Hunter Coin,8,Materials,2000,20000
592,Steel Egg,4,Materials,1000,10000
593,Silver Egg,4,Materials,10000,100000
594,Golden Egg,4,Materials,20000,200000
595,Chipped Scale,4,Materials,500,5000
596,Large Scale,4,Materials,1000,10000
597,Beautiful Scale,5,Materials,2000,20000
598,Lustrous Scale,6,Materials,3000,30000
599,Glimmering Scale,7,Materials,5000,50000
600,Bhernastone,4,Materials,400,4000
601,Dundormarin,4,Materials,800,8000
602,Loc Lac Ore,5,Materials,1500,15000
603,Val Habar Quartz,6,Materials,2000,20000
604,Minegardenite,7,Materials,5000,50000
605,Golden Scale,4,Materials,1000,10000
606,Golden Scale+,5,Materials,10000,100000
607,Platinum Scale,4,Materials,2000,20000
608,Platinum Scale+,5,Materials,20000,200000
609,Gilded Scale,4,Materials,500,5000
610,Gilded Scale+,5,Materials,5000,50000
611,White Liver,2,Account Items,40,400
612,Wyvern Tear,3,Account Items,200,2000
613,Large Wyvern Tear,5,Account Items,500,5000
