ID,Name,Rarity
89,Normal S Level 3,2
90,Pierce S Level 1,2
91,Pierce S Level 2,2
92,Pierce S Level 3,3
93,Pellet S Level 1,2
94,Pellet S Level 2,2
95,Pellet S Level 3,3
96,Crag S Level 1,3
97,Crag S Level 2,3
98,Crag S Level 3,3
99,Cluster S Level 1,2
100,Cluster S Level 2,3
101,Cluster S Level 3,3
102,Flaming S,3
103,Water S,3
104,Thunder S,3
105,Freeze S,3
106,Dragon S,5
107,Poison S Level 1,2
108,Poison S Level 2,3
109,Paralysis S Level 1,3
110,Paralysis S Level 2,4
111,Sleep S Level 1,3
112,Sleep S Level 2,4
113,Exhaust S Level 1,2
114,Exhaust S Level 2,3
115,Slicing S,3
116,Wyvern Fire,4
117,Blast S,4
118,Recover S Level 1,1
119,Recover S Level 2,2
120,Demon S,3
121,Armor S,3
122,Paint S,1
123,Tranq S,3
124,(No Coating),0
125,Empty Phial,1
126,Power Coating,2
127,Close-range Coating,2
128,Poison Coating,3
129,Paralysis Coating,3
130,Sleep Coating,3
131,Exhaust Coating,3
132,Blast Coating,3
133,Paint Coating,1
134,Power Nectar: Fire,3
135,Stamina Nectar: Water,3
136,Speed Nectar: Thunder,3
137,Speed Nectar: Ice,3
138,Stamina Nectar: Dragon,3
139,Power+ Nectar,4
140,Stamina+ Nectar,4
141,Speed+ Nectar,4
142,Nectar: Fire+,4
143,Nectar: Water+,4
144,Nectar: Thunder+,4
145,Nectar: Ice+,4
146,Nectar: Dragon+,4
147,Power+ Nectar: Fire,5
148,Stamina+ Nectar: Water,5
149,Speed+ Nectar: Thunder,5
150,Power Nectar: Fire+,5
151,Speed Nectar: Water+,5
152,Speed Nectar: Thunder+,5
153,Speed Nectar: Ice+,5
154,Stamina Nectar: Dragon+,5
155,Worm,1
156,Mega Fishing Fly,3
157,Frog,2
158,Sushifish Bait,2
159,Burst Bait,2
160,Goldenfish Bait,4
161,Old Pickaxe,1
162,Iron Pickaxe,1
163,Mega Pickaxe,3
164,Old Bug Net,1
165,Bug Net,1
166,Mega Bug Net,3
167,BBQ Spit,4
168,Whetstone,1
169,Binoculars,1
170,Garbage,1
171,Field Horn,2
172,Health Horn,4
173,Antidote Horn,4
174,Demon Horn,5
175,Armor Horn,5
176,Honey,2
177,Herb,1
178,Antidote Herb,1
179,Fire Herb,2
180,Ivy,1
181,Sleep Herb,1
182,Sap Plant,1
183,Felvine,1
184,Gloamgrass Root,2
185,Hot Pepper,2
186,Cathangea Seed,4
187,Cathangea,5
188,Cathangea Elixir,6
189,Blue Mushroom,2
190,Nitroshroom,2
191,Parashroom,3
192,Toadstool,2
193,Exciteshroom,3
194,Mopeshroom,2
195,Dragon Toadstool,3
196,Paintberry,1
197,Might Seed,2
198,Adamant Seed,2
199,Nulberry,2
200,Dragonfell Berry,4
201,Scatternut,2
202,Needleberry,1
203,Latchberry,1
204,Bomberry,2
205,Bumblepumpkin,2
206,Stone,1
207,Iron Ore,4
208,Earth Crystal,4
209,Machalite Ore,4
210,Dragonite Ore,4
211,Lightcrystal,4
212,Ice Crystal,4
213,Firestone,4
214,Gossamite Ore,4
215,Heavenly Crystal,6
216,Carbalite Ore,6
217,Novacrystal,6
218,Fucium Ore,6
219,Firecell Stone,6
220,Yoldspar Ore,6
221,Abrasive,4
222,Quality Abrasive,5
223,Awesome Abrasive,6
224,Armor Stone,4
225,Armor Sphere,4
226,Armor Sphere+,4
227,Advanced Armor Sphere,5
228,Hard Armor Sphere,5
229,Heavy Armor Sphere,6
230,True Armor Sphere,7
231,Whetfish,1
232,Sushifish,1
233,Sleepyfish,2
234,Pin Tuna,1
235,Speartuna,5
236,Popfish,2
237,Scatterfish,4
238,Burst Arowana,4
239,Bomb Arowana,4
240,Glutton Tuna,4
241,Gastronome Tuna,5
242,Small Goldenfish,4
243,Wanchovy,2
244,Ancient Fish,5
245,Blue Cutthroat,4
246,Bronze Guild Ticket,4
247,Silver Guild Ticket,5
248,Insect Husk,1
249,Gold Guild Ticket,6
250,Stinkhopper,1
251,Snakebee Larva,1
252,Godbug,4
253,Bitterbug,1
254,Flashbug,2
255,Thunderbug,4
256,Glueglopper,4
257,Killer Beetle,4
258,Hercudrome,4
259,Fulgurbug,4
260,Rare Scarab,6
261,Great Hornfly,4
262,Butterfly Beetle,4
263,Monster Bone S,3
264,Monster Bone M,4
265,Monster Bone L,4
266,Mystery Bone,1
267,Unknown Skull,4
268,Monster Bone+,4
269,Monster Keenbone,6
270,Monster Hardbone,6
271,Elder Dragon Bone,6
272,Avian Finebone,5
273,Brute Bone,4
274,Jumbo Bone,4
275,Stoutbone,6
276,Dragonbone Relic,6
277,Wyvern Fang,3
278,Wyvern Claw,3
279,Bird Wyvern Gem,7
280,Wyvern Gem,7
281,Elder Dragon Blood,5
282,Steel Egg,4
283,Silver Egg,4
284,Golden Egg,4
285,Slickaxe,4
286,Screamer Sac,4
287,Poison Sac,4
288,Toxin Sac,6
289,Paralysis Sac,4
290,Sleep Sac,4
291,Flame Sac,4
292,Inferno Sac,6
293,Electro Sac,4
294,Thunder Sac,6
295,Frost Sac,4
296,Freezer Sac,6
297,Aqua Sac,4
298,Torrent Sac,6
299,Dash Extract,4
300,Pale Extract,4
301,Gargwa Feather,4
302,Kelbi Horn,4
303,Blue Kelbi Horn,5
304,Warm Pelt,4
305,High-quality Pelt,6
306,Rhenoplos Shell,4
307,Rhenoplos Carapace,6
308,Rhenoplos Scalp,4
309,Slagtoth Hide,4
310,Slagtoth Hide+,6
311,Bnahabra Shell,4
312,Bnahabra Carapace,6
313,Bnahabra Wing,4
314,Altaroth Jaw,4
315,Altaroth Stomach,4
316,Quality Stomach,6
317,Sharp Fang,4
318,Konchu Shell,4
319,Konchu Carapace,6
320,Remobra Hide,4
321,Remobra Hide+,6
322,Striped Skin,4
323,Remobra Head,4
324,Jaggi Scale,4
325,Jaggi Scale+,6
326,Jaggi Hide,4
327,Bird Wyvern Fang,4
328,Tough Bird Wyvern Hide,6
329,Great Jaggi Hide,4
330,Great Jaggi Hide+,6
331,Great Jaggi Claw,4
332,Great Jaggi Claw+,6
333,King's Frill,4
334,Great Jaggi Head,4
335,Velociprey Scale,4
336,Velociprey Scale+,6
337,Velociprey Hide,4
338,Velociprey Hide+,6
339,Velocidrome Hide,4
340,Velocidrome Claw,4
341,Velocidrome Claw+,6
342,Velocidrome Head,4
343,Genprey Fang,4
344,Genprey Scale,4
345,Genprey Scale+,6
346,Genprey Hide,4
347,Genprey Hide+,6
348,Gendrome Hide,4
349,Gendrome Tail,4
350,Gendrome Head,4
351,Ioprey Fang,4
352,Ioprey Scale,4
353,Ioprey Scale+,6
354,Ioprey Hide,4
355,Ioprey Hide+,6
356,Iodrome Hide,4
357,Iodrome Head,4
358,Lagombi Pelt,4
359,Lagombi Pelt+,6
360,Lagombi Ear,4
361,Lagombi Ear+,6
362,Lagombi Plastron,4
363,Lagombi Plastron+,6
364,Lagombi Iceclaw,4
365,Lagombi Frozenclaw,6
366,Kut-Ku Scale,4
367,Kut-Ku Scale+,6
368,Kut-Ku Shell,4
369,Kut-Ku Carapace,6
370,Kut-Ku Ear,4
371,Kut-Ku Auricle,6
372,Giant Beak,4
373,Splendid Beak,6
374,Kut-Ku Webbing,4
375,Invalid Message,0
376,Blue Kut-Ku Scale+,6
377,Blue Kut-Ku Carapace,6
378,Rubbery Hide,4
379,Rubbery Hide+,6
380,Gypceros Head,4
381,Rubbery Purple Hide,6
382,Purple Gypceros Wing,6
383,Garuga Scale,4
384,Garuga Scale+,6
385,Garuga Shell,4
386,Garuga Carapace,6
387,Garuga Ear,4
388,Garuga Auricle,6
389,Sharpened Beak,4
390,Rejuvenated Beak,6
391,Garuga Wing,4
392,Garuga Tail,4
393,Garuga Mane,4
394,Kecha Pelt,4
395,Kecha Pelt+,6
396,Kecha Longbone,4
397,Kecha Grandbone,6
398,Kecha Talon,4
399,Kecha Ear,4
400,Kecha Ear+,6
401,Kecha Tail,4
402,Conga Pelt,4
403,Conga Pelt+,6
404,Sharp Claw,4
405,Congalala Pelt,4
406,Congalala Pelt+,6
407,Vibrant Pelt,4
408,Congalala Claw,4
409,Congalala Claw+,6
410,Congalala Fang,4
411,Emerald Congalala Pelt+,6
412,Emerald Congalala Fang+,6
413,Emerald Congalala Claw+,6
414,Rajang Horn+,6
415,Rajang Fang+,6
416,Rajang Blackfur,6
417,Rajang Claw+,6
418,Rajang Tail,6
419,Gold Rajang Pelt,6
420,Rajang Ragehair,6
421,Rajang Nerve,6
422,Ghoulish Gold Horn,7
423,Tetsucabra Scale,4
424,Tetsucabra Scale+,6
425,Tetsucabra Shell,4
426,Tetsucabra Carapace,6
427,Tetsucabra Claw,4
428,Tetsucabra Claw+,6
429,Tetsucabra Tusks,4
430,Tetsucabra Tusks+,6
431,Dignified Skull,4
432,Paddock Oil,4
433,Paddock Oil+,6
434,Sharqskin Scale,4
435,Meaty Hide,4
436,Meaty Hide+,6
437,Zamtrios Hide,4
438,Zamtrios Hide+,6
439,Zamtrios Scale,4
440,Zamtrios Scale+,6
441,Zamtrios Fin,4
442,Zamtrios Fin+,6
443,Zamtrios Sawtooth,4
444,Zamtrios Tailblade,4
445,Najarala Shell,4
446,Najarala Carapace,6
447,Najarala Hide,4
448,Najarala Hide+,6
449,Najarala Marrow,5
450,Najarala Medulla,7
451,Najarala Sounder,4
452,Najarala Sounder+,6
453,Najarala Fang,4
454,Chilling Beak,5
455,Nerscylla Shell,4
456,Nerscylla Carapace,6
457,Nerscylla Chelicera,4
458,Nerscylla Shear,6
459,Nerscylla Claw,4
460,Nerscylla Sharpclaw,6
461,Nerscylla Spike,4
462,Nerscylla Spike+,6
463,Monster Fluid,4
464,Monster Broth,6
465,Seltas Shell,4
466,Seltas Carapace,6
467,Seltas Wing,4
468,Seltas Innerwing,6
469,Seltas Horn,4
470,Seltas Horn+,6
471,Seltas Queen Shell,4
472,Seltas Queen Carapace,6
473,Seltas Queen Pectus,4
474,Seltas Queen Hardpectus,6
475,Seltas Queen Claw,4
476,Seltas Queen Sharpclaw,6
477,Seltas Queen Jaw,4
478,Seltas Queen Crescent,4
479,Seltas Queen Extract,4
480,Seltas Queen Concentrate,6
481,Flabby Hide,4
482,Pearl Hide,6
483,Pale Bone,4
484,Pale Steak,6
485,Alluring Hide,6
486,Alluring Webbing,6
487,Rathian Scale,4
488,Rathian Scale+,6
489,Rathian Shell,4
490,Rathian Carapace,6
491,Rathian Webbing,4
492,Rathian Spike,4
493,Rathian Spike+,6
494,Rathian Plate,5
495,Rathian Ruby,7
496,Pink Rathian Scale+,6
497,Pink Rathian Carapace,6
498,Gold Rathian Scale+,6
499,Gold Rathian Carapace,6
500,Gold Rathian Spike+,6
501,Rathalos Scale,4
502,Rathalos Scale+,6
503,Rathalos Shell,4
504,Rathalos Carapace,6
505,Rathalos Webbing,4
506,Rathalos Wing,6
507,Rathalos Tail,4
508,Rathalos Plate,5
509,Rathalos Ruby,7
510,Azure Rathalos Scale+,6
511,Azure Rathalos Carapace,6
512,Azure Rathalos Tail,6
513,Azure Rathalos Wing,6
514,Silver Rathalos Scale+,6
515,Silver Rathalos Carapace,6
516,Silver Rathalos Tail,6
517,Rath Wingtalon,4
518,Rathalos Marrow,5
519,Rathalos Medulla,7
520,Rathalos Gleam,7
521,Zinogre Shell,4
522,Zinogre Carapace,6
523,Zinogre Shockfur,4
524,Zinogre Electrofur,6
525,Zinogre Horn,4
526,Zinogre Horn+,6
527,Zinogre Claw,4
528,Zinogre Claw+,6
529,Zinogre Tail,4
530,Zinogre Shocker,4
531,Zinogre Shocker+,6
532,Zinogre Plate,5
533,Zinogre Jasper,7
534,Stygian Zinogre Carapace,6
535,Stygian Zinogre Horn+,6
536,Stygian Zinogre Claw+,6
537,Stygian Zinogre Tail,6
538,Stygian Zinogre Drakeshell,6
539,Dracophage Bug,6
540,Stygian Zinogre Dragonhair,6
541,Stygian Zinogre Umbrage,7
542,Brachydios Shell,4
543,Brachydios Carapace,6
544,Brachydios Ebonshell,4
545,Brachydios Ebonshell+,6
546,Brachydios Scalp,4
547,Brachydios Scalp+,6
548,Mystery Slime,4
549,Brachydios Hammer,4
550,Brachydios Pounder,6
551,Brachydios Tail,6
552,Brachydios Marrow,5
553,Brachydios Gem,7
554,Basarios Shell,4
555,Basarios Carapace,6
556,Basarios Wing,4
557,Basarios Tears,6
558,Ruby Basarios Wing,6
559,Ruby Basarios Carapace,6
560,Gravios Shell,4
561,Gravios Carapace,6
562,Gravios Scalp,4
563,Gravios Medulla,7
564,Gravios Wing,4
565,Black Gravios Carapace,6
566,Black Gravios Scalp,4
567,Tigrex Scale,4
568,Tigrex Scale+,6
569,Tigrex Shell,4
570,Tigrex Carapace,6
571,Tigrex Tail,4
572,Tigrex Claw,4
573,Tigrex Claw+,6
574,Tigrex Fang,4
575,Tigrex Fang+,6
576,Tigrex Scalp,4
577,Tigrex Maw,7
578,Brute Tigrex Scale+,6
579,Brute Tigrex Carapace,6
580,Brute Tigrex Claw+,6
581,Brute Tigrex Fang+,6
582,Molten Tigrex Scale+,6
583,Molten Tigrex Carapace,6
584,Molten Tigrex Blastclaw,6
585,Molten Tigrex Fang+,6
586,Molten Tigrex Tail,6
587,Pulsating Blastheart,7
588,Gore Magala Scale,4
589,Gore Magala Scale+,6
590,Gore Magala Shell,4
591,Gore Magala Carapace,6
592,Gore Magala Wing,4
593,Gore Magala Wing+,6
594,Gore Magala Ripclaw,4
595,Gore Magala Ripclaw+,6
596,Gore Magala Tail,4
597,Gore Magala Plate,5
598,Gore Magala Nyctgem,7
599,Gore Magala Feeler,4
600,Gore Magala Feeler+,6
601,Defiled Scale,4
602,Shagaru Magala Scale,4
603,Shagaru Magala Scale+,6
604,Shagaru Magala Shell,4
605,Shagaru Magala Carapace,6
606,Shagaru Magala Prismwing,4
607,Shagaru Magala Prismwing+,6
608,Shagaru Magala Caress,4
609,Shagaru Magala Caress+,6
610,Shagaru Magala Tail,4
611,Shagaru Magala Plate,6
612,Shagaru Magala Phosgem,7
613,Shagaru Magala Horn,4
614,Shagaru Magala Horn+,6
615,Pure Scale,4
616,Deviljho Scale,6
617,Deviljho Hide,6
618,Deviljho Tallfang,6
619,Deviljho Talon,6
620,Deviljho Scalp,6
621,Deviljho Tail,6
622,Deviljho Saliva,6
623,Black Blood,6
624,Spattered Hide,6
625,Deviljho Gem,7
626,Kirin Thunderhorn,4
627,Kirin Hide,4
628,Kirin Hide+,6
629,Kirin Mane,4
630,Kirin Thundertail,4
631,Kirin Azure Horn,6
632,Kirin Icehorn,6
633,Kirin Frost Tail,6
634,Daora Scale,6
635,Daora Carapace,6
636,Daora Claw+,6
637,Daora Tail,6
638,Daora Webbing,6
639,Daora Horn+,6
640,Daora Gem,7
641,Teostra Carapace,6
642,Teostra Mane,6
643,Teostra Tail,6
644,Teostra Horn+,6
645,Fire Dragon Scale+,6
646,Teostra Claw+,6
647,Teostra Webbing,6
648,Teostra Powder,6
649,Teostra Gem,7
650,Dah'ren Mohran Shell,4
651,Dah'ren Mohran Carapace,6
652,Dah'ren Mohran Bloodscale,4
653,Dah'ren Mohran Bloodscale+,6
654,Dah'ren Mohran Brace,4
655,Dah'ren Mohran Brace+,6
656,Brutal Horn,4
657,Brutal Horn+,6
658,Dah'renstone,4
659,Earth Dragongem,5
660,Akantor Scale+,6
661,Akantor Carapace,6
662,Akantor Tail,6
663,Akantor Hardclaw,6
664,Akantor Tallfang,6
665,Akantor Spike,6
666,Akantor Gem,7
667,Fatalis Horn,6
668,Fatalis Scale,6
669,Fatalis Shell,6
670,Fatalis Eye,6
671,Fatalis Webbing,6
672,Fatalis Bloodhorn,6
673,Fatalis Bloodscale,6
674,Fatalis Bloodshell,6
675,Fatalis Devileye,6
676,Fatalis Bloodwing,6
677,Dalamadur Steel,6
678,Dalamadur Tail Scale,6
679,Dalamadur Gazer,6
680,Dalamadur Pectus,6
681,Dalamadur Glaive,6
682,Dalamadur Talon,6
683,Dalamadur Tail Shell,6
684,Dalamadur Fanblade,6
685,Vortex Bone,6
686,Skyblade Gem,7
687,Shattered Omen,6
688,Frenzy Shard,4
689,Frenzy Crystal,5
690,Vile Frenzy Crystal,6
691,Small Lobstershell,4
692,Lobster Tail Fan,4
693,Plesioth Scale,4
694,Plesioth Fin,4
695,Arzuros Shell,4
696,Arzuros Pelt,4
697,Royal Ludroth Claw,4
698,Spongy Hide,4
699,Vivid Feather,4
700,Strange Beak,4
701,Barroth Shell,4
702,Barroth Scalp,4
703,Nibelsnarf Hide,4
704,Vivid Fluid,4
705,Ceanataur Shell,4
706,Ceanataur Pincer,5
707,Uragaan Marrow,5
708,Uragaan Scute,4
709,Nargacuga Blackfur,4
710,Nargacuga Marrow,5
711,Nargacuga Cutwing,4
712,Duramboros Mossplate,4
713,Duramboros Horn,4
714,Lavasioth Scale,4
715,Lavasioth Fin,4
716,Diablos Shell,4
717,Majestic Horn,5
718,Lao-Shan Shell,4
719,Lao-Shan Claw,4
720,Lao-Shan Horn,5
721,Vespoid Innerwing,6
722,Cephalos Fin+,6
723,Cephalos Scale+,6
724,Hermitaur Carapace,6
725,Hermitaur Claw+,6
726,Gobul Hide+,6
727,Gobul Spike+,6
728,Volvidon Carapace,6
729,Amber Tusks+,6
730,Barioth Pelt+,6
731,Blangonga Pelt+,6
732,Blangonga Whisker,6
733,Blangonga Fang+,6
734,Shell Shocker+,6
735,Lagiacrus Sapphire,7
736,Agnaktor Carapace,6
737,Agnaktor Fin+,6
738,Lunastra Carapace,6
739,Lunastra Mane,6
740,Chameleos Hide+,6
741,Chameleos Gem,6
742,Chameleos Tail,6
743,Tsukami Fluid,6
744,Dragonwood+,6
745,Dragonmoss+,6
746,Ukanlos Shoveljaw,6
747,Ukanlos Carapace,6
748,Ukanlos Gem,7
749,Gaoren Pincer,6
750,Gaoren Thoracic,6
751,Gaoren Claw+,6
752,Ceadeus Hide,6
753,Crooked Horn,6
754,Luminous Organ,6
755,Alatreon Plate,6
756,Alatreon Webbing,6
757,Skypiercer,6
758,Rustshard,5
759,Ancient Shard,7
760,Rusted Fragment,4
761,Ancient Fragment,6
762,Battered Weapon,5
763,Battered Armor,5
764,Seasoned Weapon,6
765,Seasoned Armor,6
766,Venerable Weapon,7
767,Venerable Armor,7
768,Map,1
769,First-aid Med,1
770,First-aid Med+,2
771,Ration,1
772,Portable Spit,1
773,Mini Whetstone,1
774,EZ Shock Trap,3
775,EZ Flash Bomb,2
776,EZ Sonic Bomb,2
777,EZ Max Potion,2
778,EZ Pitfall Trap,3
779,EZ Barrel Bomb L,3
780,Ballista Ammo,5
781,Ballista Binder,6
782,One-shot Binder,3
783,Cannon Ammo,5
784,Anti-dragon Bomb,3
785,Torch,1
786,Paw Pass Ticket,5
787,Unique Mushroom,2
788,Choice Mushroom,2
789,Ripened Mushroom,3
790,Goldenfish,3
791,Silverfish,5
792,Royal Rhino,2
793,Sulfur Crystal,1
794,Auristone Chunk,4
795,Crystal Bone,2
796,Bloodstone,3
797,Coal,3
798,Fossilized Bone,2
799,Mistentoe,3
800,Decayed Scale,5
801,Tiny Spall,4
802,Lucky Spall,5
803,Miracle Spall,6
804,White Liver,2
805,Slagtoth Oil,3
806,Secret Stash,3
807,Round Acorn,3
808,Fine Stomach,2
809,Luminous Stomach,3
810,Monster Guts,3
811,Popo Tongue,3
812,Gargwa Egg,4
813,Gold Gargwa Egg,5
814,Wyvern Egg,5
815,Herbivore Egg,5
816,Sootstone Ore,5
817,Powderstone,5
818,Gargwa Guano,2
819,Territorial Dung,3
820,Territorial Dung+,5
821,Drone Substance,3
822,Queen Substance,5
823,Toad Tear,3
824,Large Toad Tear,5
825,Wyvern Tear,3
826,Large Wyvern Tear,3
827,Beast Tear,3
828,Large Beast Tear,5
829,Dragon Treasure,3
830,Old Dragon Treasure,5
831,Pinnacle Coin,4
832,Hunter King Coin,5
833,Ace Hunter Coin,6
834,Beast Coin,4
835,Flying Coin,4
836,Bird Coin,4
837,Fang Coin,6
838,Brute Coin,6
839,Vermin Coin,4
840,Toad Coin,6
841,Invalid Message,0
842,Voucher,4
843,Gourmet Voucher,5
844,Studio Pass,5
845,dummy,0
846,dummy,0
847,dummy,0
848,dummy,0
849,dummy,0
850,dummy,0
851,dummy,0
852,Fan Club Invite,5
853,Monqlo Ticket,5
854,Gold Studio Pass,5
855,Platinum Pass,5
856,dummy,0
857,Amulet Keepsake,5
858,dummy,0
859,dummy,0
860,Interpol Badge,5
861,Val Habar Ticket,5
862,dummy,0
863,Goddess's Melody,5
864,Goddess's Embrace,5
865,dummy,0
866,Uniqlo Ticket,5
867,dummy,0
868,dummy,0
869,dummy,0
870,Anklet Memento,5
871,dummy,0
872,dummy,0
873,dummy,0
874,Fan Club Certificate,5
875,Triforce,5
876,Goddess's Fire,5
877,Super Mushroom,5
878,Invalid Message,0
879,Dah'ren Mohran Ticket,5
880,Invalid Message,0
881,Dalamadur Ticket,5
882,Rajang Ticket,5
883,Gore Magala Ticket,5
884,Viper & Toad Ticket,5
885,Oroshi Kirin Ticket,5
886,Commendation,4
887,Commendation G,5
888,Accolade,6
889,Accolade G,7
890,Caravan Ticket,5
891,Palico Ticket,5
892,Meownster Ticket,5
893,Quester's Ticket,5
894,Kushala Daora Ticket,5
895,Teostra Ticket,5
896,Pawprint Stamp,5
897,VE Ticket,4
898,VE Deluxe Ticket,4
899,VE Bronze Ticket,4
900,VE Silver Ticket,4
901,VE Golden Ticket,4
902,Humble Scrap,4
903,Handsome Scrap,4
904,Gargwa Scrap,4
905,Arzuros Scrap,4
906,Kecha Wacha Scrap,4
907,Yian Kut-Ku Scrap,4
908,Bnahabra Scrap,4
909,Bulldrome Scrap,4
910,Rhenoplos Scrap,4
911,Great Jaggi Scrap,4
912,Nerscylla Scrap,4
913,Qurupeco Scrap,4
914,Zamtrios Scrap,4
915,Lagombi Scrap,4
916,Tetsucabra Scrap,4
917,Barroth Scrap,4
918,Slagtoth Scrap,4
919,Volvidon Scrap,4
920,Tigrex Scrap,4
921,Great Baggi Scrap,4
922,Nibelsnarf Scrap,4
923,Seltas Queen Scrap,4
924,Uragaan Scrap,4
925,Great Wroggi Scrap,4
926,Diablos Scrap,4
927,Rathian Scrap,4
928,Khezu Scrap,4
929,Duramboros Scrap,4
930,Zinogre Scrap,4
931,Nargacuga Scrap,4
932,Rathalos Scrap,4
933,Agnaktor Scrap,4
934,Najarala Scrap,4
935,Gore Magala Scrap,4
936,Shagaru Magala Scrap,4
937,Teostra Scrap,4
938,Deviljho Scrap,4
939,Akantor Scrap,4
940,Alatreon Scrap,4
941,Kushala Daora Scrap,4
942,Ukanlos Scrap,4
943,Kirin Scrap,4
944,Gigginox Scrap,4
945,Rajang Scrap,4
946,Brach Scrap,4
947,Barioth Scrap,4
948,Amatsu Scrap,6
949,Dah'ren Mohran Scrap,6
950,Jhen Mohran Scrap,6
951,Dalamadur Scrap,6
952,Royal Ludroth Scrap,4
953,Plesioth Scrap,4
954,Lagiacrus Scrap,6
955,Aquaglow Jewel,4
956,Sunspire Jewel,4
957,Bloodrun Jewel,5
958,Lazurite Jewel,5
959,Adamant Orb,6
960,Antidote Jewel 1,4
961,Antidote Jewel 2,5
962,Paralysis Jewel 1,4
963,Paralysis Jewel 2,5
964,Pep Jewel 1,4
965,Pep Jewel 2,5
966,Steadfast Jewel 1,4
967,Standfast Jewel 1,4
968,Tracker Jewel 1,4
969,Trekker Jewel 1,4
970,Ninja Jewel 1,4
971,Vitality Jewel 1,4
972,Recovery Jewel 1,4
973,Recovery Jewel 2,5
974,Razor Jewel 1,4
975,Razor Jewel 3,6
976,Handicraft Jewel 2,5
977,Handicraft Jewel 3,6
978,Fencer Jewel 1,4
979,Fencer Jewel 3,6
980,Expert Jewel 1,4
981,Expert Jewel 2,5
982,Expert Jewel 3,6
983,Grinder Jewel 1,4
984,Ironwall Jewel 1,4
985,Ironwall Jewel 2,5
986,Shield Jewel 1,4
987,Shield Jewel 2,5
988,Quickload Jewel 1,4
989,Quickload Jewel 2,5
990,Absorber Jewel 1,4
991,Absorber Jewel 3,6
992,Forceshot Jewel 1,4
993,Forceshot Jewel 3,6
994,Pierce Jewel 1,4
995,Pierce Jewel 3,6
996,Pellet Jewel 1,4
997,Pellet Jewel 3,6
998,Shot Plus Jewel 1,4
999,Shot Plus Jewel 2,5
1000,Pierce Plus Jewel 1,4
1001,Pellet Plus Jewel 1,4
1002,Crag Plus Jewel 1,4
1003,Cluster Plus Jewel 1,4
1004,Disabler Jewel 1,4
1005,Disabler Jewel 2,5
1006,Element Jewel 1,4
1007,Element Jewel 3,6
1008,Bombardier Jewel 1,4
1009,Hungerless Jewel 1,4
1010,Metabolism Jewel 1,4
1011,Attack Jewel 1,4
1012,Attack Jewel 2,5
1013,Attack Jewel 3,6
1014,Defense Jewel 1,4
1015,Defense Jewel 2,5
1016,Protection Jewel 1,4
1017,Asylum Jewel 1,4
1018,Earplug Jewel 1,4
1019,Earplug Jewel 3,6
1020,Alarm Jewel 1,4
1021,Friendship Jewel 1,4
1022,Friendship Jewel 2,5
1023,Transporter Jewel 1,4
1024,Fire Res Jewel 1,4
1025,Water Res Jewel 1,4
1026,Ice Res Jewel 1,4
1027,Thunder Res Jewel 1,4
1028,Dragon Res Jewel 1,4
1029,Heat Res Jewel 1,4
1030,Cold Res Jewel 1,4
1031,Wind Res Jewel 1,4
1032,Wind Res Jewel 2,5
1033,Gathering Jewel 1,4
1034,Spree Jewel 1,4
1035,Blessing Jewel 1,4
1036,Fate Jewel 1,4
1037,Fate Jewel 3,6
1038,Psychic Jewel 1,4
1039,Medicine Jewel 1,4
1040,Medicine Jewel 2,5
1041,Professor Jewel 1,4
