ID,Name,Category,Subcategory
171,Gold Ticket,Materials,Gold Tickets
172,Platinum Ticket,Materials,Platinum Tickets
173,Armor Sphere S,Materials,Armor Spheres
176,Well-done Steak,Healing Items,Food
177,Muscle Meat,Healing Items,Food
178,Toughness Meat,Healing Items,Food
179,Quickness Meat,Healing Items,Food
180,Gourmet Steak,Healing Items,Food
182,Stable Blueprint 1,Key Items,Key Items
183,Stable Blueprint 2,Key Items,Key Items
184,Stable Blueprint 3,Key Items,Key Items
185,Stable Blueprint 4,Key Items,Key Items
186,Stable Blueprint 5,Key Items,Key Items
187,Stable Blueprint 6,Key Items,Key Items
188,Expedition+ Ticket,Key Items,Key Items
189,Silver Expedition+ Ticket,Key Items,Key Items
190,Gold Expedition+ Ticket,Key Items,Key Items
278,Herbivore Stimulant,Growth Items,Awakening Crystals
279,Bird Wyvern Stimulant,Growth Items,Awakening Crystals
280,Flying Wyvern Stimulant,Growth Items,Awakening Crystals
281,Fanged Beast Stimulant,Growth Items,Awakening Crystals
282,Brute Wyvern Stimulant,Growth Items,Awakening Crystals
283,Fanged Wyvern Stimulant,Growth Items,Awakening Crystals
284,Leviathan Stimulant,Growth Items,Awakening Crystals
285,Temnoceran Stimulant,Growth Items,Awakening Crystals
286,Amphibian Stimulant,Growth Items,Awakening Crystals
287,Elder Dragon Stimulant,Growth Items,Awakening Crystals
288,Piscine Wyvern Stimulant,Growth Items,Awakening Crystals
289,Universal Stimulant,Growth Items,Awakening Crystals
433,Training Charm,Facilities,Charms
435,Gathering Charm,Facilities,Charms
436,Lucky Charm,Facilities,Charms
437,Finding Charm,Facilities,Charms
438,Mounting Charm,Facilities,Charms
439,Selling Charm,Facilities,Charms
440,Buying Charm,Facilities,Charms
441,Adamant Charm,Facilities,Charms
442,Might Charm,Facilities,Charms
443,Recovery Charm,Facilities,Charms
463,Aged Felvine,Materials,Special Felvine
464,Felvine Coin,Facilities,Trade-in Items
465,Unique Mushroom,Materials,Mahana Commodities
466,Golden Fragment,Facilities,Trade-in Items
467,Goldenfry,Materials,Mahana Rarities
470,Brocadefish,Materials,Loloska Fishes
471,Ancient Beans,Materials,Mountain Commodities
472,Royal Honey,Materials,Rutoh Commodities
473,Crimson Coral,Materials,Alcala Commodities
474,Tropical Berry,Materials,Lamure Commodities
475,Crystal Bone,Materials,Rutoh Commodities
476,King Cactus,Materials,High-Grade Commodities
477,Silver Spidersilk,Materials,Rutoh Commodities
478,Pittance Fang,Facilities,Trade-in Items
479,Royal Rhino,Materials,High-Grade Commodities
480,Coal,Materials,Terga Commodities
481,Golden Bone,Materials,Terga Commodities
482,Volcanic Pepper,Materials,Terga Commodities
483,Divine Rhino,Materials,Alcala Commodities
484,Great Shroom,Materials,Alcala Commodities
485,Goldenfish,Materials,Mountain Commodities
486,Diamond Dust,Materials,Mt. Lavina Commodities
487,Aurora Grass,Materials,Mt. Lavina Commodities
488,Icebound Bone,Materials,Mt. Lavina Commodities
489,Golden Chunk,Facilities,Trade-in Items
490,Choice Mushroom,Materials,Special Commodities
491,Gold Cricket,Materials,Mountain Commodities
492,Ancient Coin,Facilities,Trade-in Items
493,Balmstone Chunk,Materials,Top-Grade Commodities
494,Century Walnut,Materials,Top-Grade Commodities
495,Silver Cricket,Materials,Mahana Rarities
496,Black Pearl,Materials,Lamure Commodities
497,Bottle Cap,Facilities,Bottle Caps
498,Grand Felvine,Materials,Special Felvine
499,Valuable Scale,Facilities,Trade-in Items
500,Mazewalker's Seal,Facilities,Collectibles
501,Fortune Fang,Facilities,Trade-in Items
502,Fortune Scale,Facilities,Trade-in Items
503,Goldmine Fang,Facilities,Trade-in Items
504,Goldmine Scale,Facilities,Trade-in Items
505,Felvine Bud,Materials,Special Felvine
510,Trap Tool,Materials,Materials
514,Large Barrel,Materials,Materials
525,Fire Herb,Materials,Materials
526,Ivy,Materials,Materials
527,Sap Plant,Materials,Materials
528,Woemill Wheat,Materials,Materials
529,Gloamgrass Bud,Materials,Materials
530,Cactus Flower,Materials,Materials
534,Moon Grass,Materials,Materials
551,Nulberry,Materials,Materials
552,Dragonfell Berry,Materials,Dragonfell Berries
553,Paintberry,Materials,Materials
554,Fatty Tomato,Materials,Special Commodities
555,Heftcorn,Materials,Heftcorns
570,Blue Mushroom,Materials,Materials
571,Mandragora,Materials,Materials
572,Nitroshroom,Materials,Materials
573,King Truffle,Materials,Mahana Commodities
574,Beauty Shroom,Materials,Lamure Commodities
575,Toadstool,Materials,Materials
576,Stinkshroom,Materials,Materials
577,Duskshroom,Materials,Materials
578,Chillshroom,Materials,Materials
594,Honey,Materials,Materials
595,Mixed Honey,Materials,Mahana Commodities
596,Snakebee Larva,Materials,Mahana Rarities
597,Aged Honey,Materials,Top-Grade Commodities
598,Hakolo Honey,Materials,Materials
599,Alcala Honey,Materials,Materials
600,Loloska Honey,Materials,Materials
601,Lamure Honey,Materials,Materials
602,Terga Honey,Materials,Materials
603,Honey Butter,Materials,Materials
607,Bitterbug,Materials,Materials
608,Godbug,Materials,Materials
609,Flashbug,Materials,Materials
610,Shiny Beetle,Materials,Mid-Grade Bugs
611,Thunderbug,Materials,Materials
612,Insect Husk,Materials,Low-Grade Bugs
613,Spicy Worm,Materials,Pomore Native Insects
614,Ricebug,Materials,Pomore Native Insects
615,King Scarab,Materials,High-Grade Bugs
616,Rare Scarab,Materials,High-Grade Bugs
617,Spider Web,Materials,Materials
618,Carpenterbug,Materials,Low-Grade Bugs
619,Hercudrome,Materials,Mid-Grade Bugs
622,Night Cryder Web,Materials,Materials
633,Iron Ore,Materials,Low-Grade Ores
634,Earth Crystal,Materials,Crystals
635,Pelagicite Ore,Materials,Low-Grade Ores
636,Machalite Ore,Materials,Low-Grade Ores
637,Dragonite Ore,Materials,Mid-Grade Ores
638,Yoldspar Ore,Materials,Mid-Grade Ores
639,Firestone,Materials,Mid-Grade Ores
641,Novacrystal,Materials,Crystals
643,Comet Salt,Materials,Special Commodities
644,Lightcrystal,Materials,Crystals
646,Carbalite Ore,Materials,High-Grade Ores
647,Fucium Ore,Materials,High-Grade Ores
648,Firecell Stone,Materials,High-Grade Ores
687,Sushifish,Materials,Loloska Fishes
688,Queen Shrimp,Materials,High-Grade Commodities
689,Whetfish,Materials,Materials
690,Sleepyfish,Materials,Materials
691,Sharktuna,Materials,Loloska Fishes
692,Speartuna,Materials,Speartunas
709,Raw Meat,Materials,Materials
711,Quality Meat,Facilities,Trade-in Items
712,High-Quality Meat,Facilities,Trade-in Items
721,Wyvern Barbs,Materials,Materials
723,Screamer Sac,Materials,Materials
725,Poison Sac,Materials,Poison Sacs
726,Toxin Sac,Materials,Toxin Sacs
727,Paralysis Sac,Materials,Paralysis Sacs
728,Debilitation Sac,Materials,Debilitation Sacs
729,Sleep Sac,Materials,Sleep Sacs
730,Coma Sac,Materials,Coma Sacs
731,Blast Sac,Materials,Blast Sacs
732,Explosion Sac,Materials,Explosion Sacs
733,Flame Sac,Materials,Flame Sacs
734,Inferno Sac,Materials,Inferno Sacs
735,Aqua Sac,Materials,Aqua Sacs
736,Torrent Sac,Materials,Torrent Sacs
737,Electro Sac,Materials,Electro Sacs
738,Thunder Sac,Materials,Thunder Sacs
739,Frost Sac,Materials,Frost Sacs
740,Freezer Sac,Materials,Freezer Sacs
741,Whelp Core,Materials,Whelp Cores
742,Dragon Core,Materials,Dragon Cores
743,Wyvern Stone,Materials,Wyvern Stones
744,Wyvern Gem,Materials,Wyvern Gems
745,Larinoth Hide,Materials,Larinoth Materials
758,Rathian Shell,Materials,Rathian Materials
759,Rathian Spike,Materials,Rathian Materials
760,Rathian Plate,Materials,Rathian Materials
761,Rathian Carapace,Materials,Rathian Materials+
762,Rathian Spike+,Materials,Rathian Materials+
763,Rathian Ruby,Materials,Rathian Materials+
764,Pink Rathian Shell,Materials,Pink Rathian Materials
765,Pink Rathian Thorn,Materials,Pink Rathian Materials
766,Pink Rathian Plate,Materials,Pink Rathian Materials
767,Pink Rathian Carapace,Materials,Pink Rathian Materials+
768,Pink Rathian Spike+,Materials,Pink Rathian Materials+
769,Pink Rathian Ruby,Materials,Pink Rathian Materials+
770,Gold Rathian Carapace,Materials,Gold Rathian Materials+
771,Gold Rathian Spike+,Materials,Gold Rathian Materials+
772,Gold Rathian Ruby,Materials,Gold Rathian Materials+
773,Rathalos Scale,Materials,Rathalos Materials
774,Rathalos Webbing,Materials,Rathalos Materials
775,Rathalos Plate,Materials,Rathalos Materials
776,Rathalos Scale+,Materials,Rathalos Materials+
777,Rathalos Wing,Materials,Rathalos Materials+
778,Rathalos Ruby,Materials,Rathalos Materials+
779,Azure Rathalos Scale,Materials,Azure Rathalos Materials
780,Azure Rathalos Web,Materials,Azure Rathalos Materials
781,Azure Rathalos Plate,Materials,Azure Rathalos Materials
782,Azure Rathalos Scale+,Materials,Azure Rathalos Materials+
783,Azure Rathalos Wing,Materials,Azure Rathalos Materials+
784,Azure Rathalos Ruby,Materials,Azure Rathalos Materials+
785,Silver Rathalos Scale+,Materials,Silver Rathalos Materials+
786,Silver Rathalos Wing,Materials,Silver Rathalos Materials+
787,Silver Rathalos Ruby,Materials,Silver Rathalos Materials+
788,Kut-Ku Scale,Materials,Kut-Ku Materials
789,Kut-Ku Webbing,Materials,Kut-Ku Materials
790,Giant Beak,Materials,Kut-Ku Materials
791,Kut-Ku Scale+,Materials,Kut-Ku Materials+
792,Kut-Ku Wing,Materials,Kut-Ku Materials+
793,Splendid Beak,Materials,Kut-Ku Materials+
794,Blue Kut-Ku Scale,Materials,Blue Kut-Ku Materials
795,Blue Kut-Ku Shell,Materials,Blue Kut-Ku Materials
796,Blue Kut-Ku Ear,Materials,Blue Kut-Ku Materials
797,Blue Kut-Ku Scale+,Materials,Blue Kut-Ku Materials+
798,Blue Kut-Ku Carapace,Materials,Blue Kut-Ku Materials+
799,Blue Kut-Ku Ear+,Materials,Blue Kut-Ku Materials+
800,Rubbery Hide,Materials,Gypceros Materials
801,Gypceros Webbing,Materials,Gypceros Materials
802,Gypceros Head,Materials,Gypceros Materials
803,Rubbery Hide+,Materials,Gypceros Materials+
804,Gypceros Wing,Materials,Gypceros Materials+
805,Gypceros Hardhead,Materials,Gypceros Materials+
806,Rubbery Purple Hide,Materials,Purple Gypceros Materials
807,Purple Gypceros Web,Materials,Purple Gypceros Materials
808,Rubbery Purple Tail,Materials,Purple Gypceros Materials
809,Rubbery Purple Hide+,Materials,Purple Gypceros Materials+
810,Purple Gypceros Wing,Materials,Purple Gypceros Materials+
811,Rubbery Purple Tail+,Materials,Purple Gypceros Materials+
812,Tigrex Scale,Materials,Tigrex Materials
813,Tigrex Claw,Materials,Tigrex Materials
814,Tigrex Scalp,Materials,Tigrex Materials
815,Tigrex Scale+,Materials,Tigrex Materials+
816,Tigrex Claw+,Materials,Tigrex Materials+
817,Tigrex Maw,Materials,Tigrex Materials+
818,Brute Tigrex Scale,Materials,Brute Tigrex Materials
819,Brute Tigrex Claw,Materials,Brute Tigrex Materials
820,Brute Tigrex Tail,Materials,Brute Tigrex Materials
821,Brute Tigrex Scale+,Materials,Brute Tigrex Materials+
822,Brute Tigrex Claw+,Materials,Brute Tigrex Materials+
823,Brute Tigrex Tail+,Materials,Brute Tigrex Materials+
824,Molten Tigrex Scale+,Materials,Molten Tigrex Materials+
825,Molten Tigrex Blastclaw,Materials,Molten Tigrex Materials+
826,Pulsating Blastheart,Materials,Molten Tigrex Materials+
827,Gendrome Hide,Materials,Gendrome Materials
828,Gendrome Fang,Materials,Gendrome Materials
829,Gendrome Head,Materials,Gendrome Materials
830,Gendrome Hide+,Materials,Gendrome Materials+
831,Gendrome Fang+,Materials,Gendrome Materials+
832,Gendrome Body,Materials,Gendrome Materials+
833,Iodrome Hide,Materials,Iodrome Materials
834,Iodrome Violet Scale,Materials,Iodrome Materials
835,Iodrome Head,Materials,Iodrome Materials
836,Iodrome Hide+,Materials,Iodrome Materials+
837,Iodrome Violet Scale+,Materials,Iodrome Materials+
838,Iodrome Body,Materials,Iodrome Materials+
839,Great Jaggi Hide,Materials,Great Jaggi Materials
840,Great Jaggi Claw,Materials,Great Jaggi Materials
841,King's Frill,Materials,Great Jaggi Materials
842,Great Jaggi Hide+,Materials,Great Jaggi Materials+
843,Great Jaggi Claw+,Materials,Great Jaggi Materials+
844,Great Jaggi Head,Materials,Great Jaggi Materials+
845,Velocidrome Hide,Materials,Velocidrome Materials
846,Velocidrome Claw,Materials,Velocidrome Materials
847,Velocidrome Head,Materials,Velocidrome Materials
848,Velocidrome Hide+,Materials,Velocidrome Materials+
849,Velocidrome Claw+,Materials,Velocidrome Materials+
850,Velocidrome Body,Materials,Velocidrome Materials+
851,Congalala Pelt,Materials,Congalala Materials
852,Congalala Claw,Materials,Congalala Materials
853,Vibrant Pelt,Materials,Congalala Materials
854,Congalala Pelt+,Materials,Congalala Materials+
855,Congalala Claw+,Materials,Congalala Materials+
856,Vibrant Pelt+,Materials,Congalala Materials+
857,Emerald Congalala Pelt,Materials,Emerald Congalala Materials
858,Emerald Congalala Claw,Materials,Emerald Congalala Materials
859,Emerald Congalala Tail,Materials,Emerald Congalala Materials
860,Emerald Congalala Pelt+,Materials,Emerald Congalala Materials+
861,Emerald Congalala Claw+,Materials,Emerald Congalala Materials+
862,Emerald Congalala Tail+,Materials,Emerald Congalala Materials+
863,Rajang Blackfur,Materials,Rajang Materials
864,Rajang Horn,Materials,Rajang Materials
865,Gold Rajang Pelt,Materials,Rajang Materials
866,Rajang Ragehair,Materials,Rajang Materials+
867,Rajang Horn+,Materials,Rajang Materials+
868,Rajang Nerve,Materials,Rajang Materials+
869,Kecha Pelt,Materials,Kecha Wacha Materials
870,Kecha Longbone,Materials,Kecha Wacha Materials
871,Kecha Ear,Materials,Kecha Wacha Materials
872,Kecha Pelt+,Materials,Kecha Wacha Materials+
873,Kecha Grandbone,Materials,Kecha Wacha Materials+
874,Kecha Ear+,Materials,Kecha Wacha Materials+
875,Zamtrios Hide,Materials,Zamtrios Materials
876,Zamtrios Fin,Materials,Zamtrios Materials
877,Zamtrios Tailblade,Materials,Zamtrios Materials
878,Zamtrios Hide+,Materials,Zamtrios Materials+
879,Zamtrios Fin+,Materials,Zamtrios Materials+
880,Zamtrios Tailblade+,Materials,Zamtrios Materials+
881,Nerscylla Shell,Materials,Nerscylla Materials
882,Nerscylla Chelicera,Materials,Nerscylla Materials
883,Nerscylla Spike,Materials,Nerscylla Materials
884,Nerscylla Carapace,Materials,Nerscylla Materials+
885,Nerscylla Shear,Materials,Nerscylla Materials+
886,Nerscylla Spike+,Materials,Nerscylla Materials+
887,Garuga Scale,Materials,Yian Garuga Materials
888,Garuga Ear,Materials,Yian Garuga Materials
889,Sharpened Beak,Materials,Yian Garuga Materials
890,Garuga Scale+,Materials,Yian Garuga Materials+
891,Garuga Auricle,Materials,Yian Garuga Materials+
892,Rejuvenated Beak,Materials,Yian Garuga Materials+
893,Daora Carapace,Materials,Kushala Materials+
894,Daora Horn+,Materials,Kushala Materials+
895,Daora Gem,Materials,Kushala Materials+
896,Teostra Carapace,Materials,Teostra Materials+
897,Teostra Mane,Materials,Teostra Materials+
898,Teostra Gem,Materials,Teostra Materials+
902,Kirin Hide+,Materials,Kirin Materials+
903,Kirin Thundertail,Materials,Kirin Materials+
904,Kirin Azure Horn,Materials,Kirin Materials+
908,Kirin Blackhide+,Materials,Oroshi Kirin Materials+
909,Kirin Frost Tail+,Materials,Oroshi Kirin Materials+
910,Kirin Icehorn+,Materials,Oroshi Kirin Materials+
911,Flabby Hide,Materials,Khezu Materials
912,Flabby Webbing,Materials,Khezu Materials
913,Pale Bone,Materials,Khezu Materials
914,Pearl Hide,Materials,Khezu Materials+
915,Pearl Wing,Materials,Khezu Materials+
916,Pale Steak,Materials,Khezu Materials+
917,Alluring Hide,Materials,Red Khezu Materials
918,Alluring Webbing,Materials,Red Khezu Materials
919,Alluring Lips,Materials,Red Khezu Materials
920,Alluring Tenderhide,Materials,Red Khezu Materials+
921,Alluring Wing,Materials,Red Khezu Materials+
922,Alluring Thicklips,Materials,Red Khezu Materials+
923,Basarios Shell,Materials,Basarios Materials
924,Basarios Webbing,Materials,Basarios Materials
925,Basarios Tears,Materials,Basarios Materials
926,Basarios Carapace,Materials,Basarios Materials+
927,Basarios Wing,Materials,Basarios Materials+
928,Basarios Tearglands,Materials,Basarios Materials+
929,Ruby Basarios Shell,Materials,Ruby Basarios Materials
930,Ruby Basarios Webbing,Materials,Ruby Basarios Materials
931,Ruby Basarios Head,Materials,Ruby Basarios Materials
932,Ruby Basarios Carapace,Materials,Ruby Basarios Materials+
933,Ruby Basarios Wing,Materials,Ruby Basarios Materials+
934,Ruby Basarios Stonehead,Materials,Ruby Basarios Materials+
935,Gravios Shell,Materials,Gravios Materials
936,Gravios Scalp,Materials,Gravios Materials
937,Gravios Bone Marrow,Materials,Gravios Materials
938,Gravios Carapace,Materials,Gravios Materials+
939,Gravios Jaw,Materials,Gravios Materials+
940,Gravios Medulla,Materials,Gravios Materials+
941,Black Gravios Shell,Materials,Black Gravios Materials
942,Black Gravios Scalp,Materials,Black Gravios Materials
943,Black Gravios Marrow,Materials,Black Gravios Materials
944,Black Gravios Carapace,Materials,Black Gravios Materials+
945,Black Gravios Jaw,Materials,Black Gravios Materials+
946,Black Gravios Medulla,Materials,Black Gravios Materials+
947,Deviljho Scale,Materials,Deviljho Materials
948,Deviljho Fang,Materials,Deviljho Materials
949,Deviljho Talon,Materials,Deviljho Materials
950,Deviljho Blackscale,Materials,Deviljho Materials+
951,Deviljho Tallfang,Materials,Deviljho Materials+
952,Deviljho Gem,Materials,Deviljho Materials+
953,Brachydios Shell,Materials,Brachydios Materials
954,Brachydios Hammer,Materials,Brachydios Materials
955,Brachydios Marrow,Materials,Brachydios Materials
956,Brachydios Carapace,Materials,Brachydios Materials+
957,Brachydios Pounder,Materials,Brachydios Materials+
958,Brachydios Gem,Materials,Brachydios Materials+
959,Lagombi Pelt,Materials,Lagombi Materials
960,Lagombi Plastron,Materials,Lagombi Materials
961,Lagombi Ear,Materials,Lagombi Materials
962,Lagombi Pelt+,Materials,Lagombi Materials+
963,Lagombi Plastron+,Materials,Lagombi Materials+
964,Lagombi Ear+,Materials,Lagombi Materials+
965,Zinogre Shell,Materials,Zinogre Materials
966,Zinogre Shockfur,Materials,Zinogre Materials
967,Zinogre Plate,Materials,Zinogre Materials
968,Zinogre Carapace,Materials,Zinogre Materials+
969,Zinogre Electrofur,Materials,Zinogre Materials+
970,Zinogre Jasper,Materials,Zinogre Materials+
971,Stygian Zinogre Shell,Materials,Stygian Zinogre Materials
972,Stygian Zinogre Claw,Materials,Stygian Zinogre Materials
973,Stygian Zinogre Plate,Materials,Stygian Zinogre Materials
974,Stygian Zinogre Carapace,Materials,Stygian Zinogre Materials+
975,Stygian Zinogre Claw+,Materials,Stygian Zinogre Materials+
976,Stygian Zinogre Umbrage,Materials,Stygian Zinogre Materials+
977,Fatalis Scale,Materials,Fatalis Materials+
978,Fatalis Crust,Materials,Fatalis Materials+
979,Fatalis Eye,Materials,Fatalis Materials+
980,Seregios Slavescale,Materials,Seregios Materials+
981,Seregios Impaler,Materials,Seregios Materials+
982,Seregios Dissenter,Materials,Seregios Materials+
983,Ash Kecha Fur,Materials,Ash Kecha Materials
984,Ash Kecha Longbone,Materials,Ash Kecha Materials
985,Ash Kecha Ear,Materials,Ash Kecha Materials
986,Ash Kecha Thickfur,Materials,Ash Kecha Materials+
987,Ash Kecha Grandbone,Materials,Ash Kecha Materials+
988,Ash Kecha Ear+,Materials,Ash Kecha Materials+
989,Shrouded Nerscylla Shell,Materials,Shrouded Nerscylla Materials
990,Shrouded Nerscylla Chel,Materials,Shrouded Nerscylla Materials
991,Shrouded Nerscylla Claw,Materials,Shrouded Nerscylla Materials
992,Shrouded Nerscylla Carapace,Materials,Shrouded Nerscylla Materials+
993,Shrouded Nerscylla Shear,Materials,Shrouded Nerscylla Materials+
994,Shrouded Nerscylla Claw+,Materials,Shrouded Nerscylla Materials+
995,Diablos Shell,Materials,Diablos Materials
996,Diablos Tail,Materials,Diablos Materials
997,Twisted Horn,Materials,Diablos Materials
998,Diablos Carapace,Materials,Diablos Materials+
999,Diablos Tail+,Materials,Diablos Materials+
1000,Majestic Horn,Materials,Diablos Materials+
1001,Black Diablos Shell,Materials,Black Diablos Materials
1002,Black Diablos Tail,Materials,Black Diablos Materials
1003,Twisted Black Diablos Horn,Materials,Black Diablos Materials
1004,Black Diablos Carapace,Materials,Black Diablos Materials+
1005,Black Diablos Tail+,Materials,Black Diablos Materials+
1006,Black Twisted Horn,Materials,Black Diablos Materials+
1007,Monoblos Shell,Materials,Monoblos Materials
1008,Monoblos Ridge,Materials,Monoblos Materials
1009,Blood Red Horn,Materials,Monoblos Materials
1010,Monoblos Carapace,Materials,Monoblos Materials+
1011,Monoblos Thoracic,Materials,Monoblos Materials+
1012,Scarlet Finehorn,Materials,Monoblos Materials+
1013,White Monoblos Shell,Materials,White Monoblos Materials
1014,White Monoblos Ridge,Materials,White Monoblos Materials
1015,White Monoblos Horn,Materials,White Monoblos Materials
1016,White Monoblos Carapace,Materials,White Monoblos Materials+
1017,White Monoblos Thorax,Materials,White Monoblos Materials+
1018,Top-Grade Plated Horn,Materials,White Monoblos Materials+
1019,Cephadrome Scale,Materials,Cephadrome Materials
1020,Cephadrome Fang,Materials,Cephadrome Materials
1021,Cephadrome Fin,Materials,Cephadrome Materials
1022,Cephadrome Scale+,Materials,Cephadrome Materials+
1023,Cephadrome Fang+,Materials,Cephadrome Materials+
1024,Cephadrome Fin+,Materials,Cephadrome Materials+
1025,Daimyo Shell,Materials,Daimyo Materials
1026,Daimyo Claw,Materials,Daimyo Materials
1027,Daimyo Pearl,Materials,Daimyo Materials
1028,Daimyo Carapace,Materials,Daimyo Materials+
1029,Daimyo Claw+,Materials,Daimyo Materials+
1030,Daimyo Pearl+,Materials,Daimyo Materials+
1031,Plum Daimyo Shell,Materials,Plum Daimyo Materials
1032,Plum Daimyo Claw,Materials,Plum Daimyo Materials
1033,Plum Daimyo Feeler,Materials,Plum Daimyo Materials
1034,Plum Daimyo Carapace,Materials,Plum Daimyo Materials+
1035,Plum Daimyo Claw+,Materials,Plum Daimyo Materials+
1036,Plum Daimyo Feeler+,Materials,Plum Daimyo Materials+
1037,Great Baggi Hide,Materials,Great Baggi Materials
1038,Great Baggi Claw,Materials,Great Baggi Materials
1039,King's Crest,Materials,Great Baggi Materials
1040,Great Baggi Hide+,Materials,Great Baggi Materials+
1041,Great Baggi Claw+,Materials,Great Baggi Materials+
1042,Great Baggi Head,Materials,Great Baggi Materials+
1043,Royal Ludroth Scale,Materials,Royal Ludroth Materials
1044,Royal Ludroth Tail,Materials,Royal Ludroth Materials
1045,Royal Ludroth Crest,Materials,Royal Ludroth Materials
1046,Royal Ludroth Scale+,Materials,Royal Ludroth Materials+
1047,Royal Ludroth Tail+,Materials,Royal Ludroth Materials+
1048,Royal Ludroth Crest+,Materials,Royal Ludroth Materials+
1049,Purple Ludroth Scale,Materials,Purple Ludroth Materials
1050,Purple Ludroth Claw,Materials,Purple Ludroth Materials
1051,Plum Spongy Hide,Materials,Purple Ludroth Materials
1052,Purple Ludroth Scale+,Materials,Purple Ludroth Materials+
1053,Purple Ludroth Claw+,Materials,Purple Ludroth Materials+
1054,Plum Spongy Hide+,Materials,Purple Ludroth Materials+
1055,Barroth Shell,Materials,Barroth Materials
1056,Barroth Claw,Materials,Barroth Materials
1057,Barroth Scalp,Materials,Barroth Materials
1058,Barroth Carapace,Materials,Barroth Materials+
1059,Barroth Claw+,Materials,Barroth Materials+
1060,Barroth Scalp+,Materials,Barroth Materials+
1061,Jade Barroth Shell,Materials,Jade Barroth Materials
1062,Jade Barroth Claw,Materials,Jade Barroth Materials
1063,Jade Barroth Scalp,Materials,Jade Barroth Materials
1064,Jade Barroth Carapace,Materials,Jade Barroth Materials+
1065,Jade Barroth Claw+,Materials,Jade Barroth Materials+
1066,Jade Barroth Scalp+,Materials,Jade Barroth Materials+
1067,Barioth Shell,Materials,Barioth Materials
1068,Barioth Spike,Materials,Barioth Materials
1069,Amber Tusks,Materials,Barioth Materials
1070,Barioth Carapace,Materials,Barioth Materials+
1071,Barioth Spike+,Materials,Barioth Materials+
1072,Amber Tusks+,Materials,Barioth Materials+
1073,Sand Barioth Shell,Materials,Sand Barioth Materials
1074,Sand Barioth Pelt,Materials,Sand Barioth Materials
1075,Indigo Tusks,Materials,Sand Barioth Materials
1076,Sand Barioth Carapace,Materials,Sand Barioth Materials+
1077,Sand Barioth Pelt+,Materials,Sand Barioth Materials+
1078,Indigo Tusks+,Materials,Sand Barioth Materials+
1079,Qurupeco Scale,Materials,Qurupeco Materials
1080,Qurupeco Feather,Materials,Qurupeco Materials
1081,Strange Beak,Materials,Qurupeco Materials
1082,Qurupeco Scale+,Materials,Qurupeco Materials+
1083,Qurupeco Wing,Materials,Qurupeco Materials+
1084,Wonderful Beak,Materials,Qurupeco Materials+
1085,Crimson Qurupeco Scale,Materials,Crimson Qurupeco Materials
1086,Crimson Qurupeco Feather,Materials,Crimson Qurupeco Materials
1087,Flamboyant Quill,Materials,Crimson Qurupeco Materials
