_id,name,rarity,carry_capacity,buy,sell,description,icon_name,icon_color,account
61,Bug Net,1,5,80,8,A durable net for catching bugs.,icon_bugnet,0,0
62,Mega Bug Net,3,5,120,12,An extremely durable net for catching bugs. This one is made to last.,icon_bugnet,4,0
63,Boomerang,4,5,150,15,An unusually-shaped weapon from abroad that returns to its user when thrown.,icon_boomerang,4,0
64,Throwing Knife,1,5,0,0,A standard throwing knife. Flies straight and true. (Supply Item),icon_knife,0,0
65,Poison Knife,1,5,0,0,A throwing knife with a venom- coated blade. Poisons targets. (Supply Item),icon_knife,5,0
66,Sleep Knife,1,5,0,0,A throwing knife that has been dusted with sleeping agents. (Supply Item),icon_knife,6,0
67,Paralysis Knife,1,5,0,0,A throwing knife coated with toxins that paralyze a target. (Supply Item),icon_knife,4,0
68,Tranq Knife,4,5,0,0,A throwing knife used to capture monsters ensnared in traps. (Supply Item),icon_knife,1,0
69,Bomb Casing,1,30,100,15,A base material for making hand-thrown bombs.,icon_monster_jewel,0,0
70,Paintball,1,99,100,10,"Toss this scented paint at a monster to mark it, allowing you to track its position.",icon_monster_jewel,8,0
71,Flash Bomb,2,5,572,57,Flashes brightly on impact. Toss this right under a monster's nose to blind it.,icon_monster_jewel,4,0
72,Sonic Bomb,2,10,450,45,A grenade-like item that emits a high-frequency blast of sound on detonation.,icon_monster_jewel,10,0
73,Tranq Bomb,4,8,350,35,A hand grenade used to capture monsters ensnared in traps. Can be slammed against the ground.,icon_monster_jewel,1,0
74,Deodorant,2,10,80,8,An item that cures Stench. Releases a puff of deodorizing smoke when thrown down.,icon_smoke,6,0
75,Smoke Bomb,2,10,100,44,Creates a large cloud of smoke wherever it lands.,icon_smoke,0,0
76,Poison Smoke Bomb,2,10,600,60,Contains a toxic chemical. Also popular as a household bug bomb.,icon_smoke,5,0
77,Farcaster,3,1,150,30,Instantly transports you back to base camp.,icon_smoke,2,0
78,Dung Bomb,2,10,120,80,"When thrown, releases a strong odor which certain monsters find repulsive.",icon_dung,4,0
79,Dung,1,10,10,1,That's right: monster poop. The odor reveals (too) much about the monster's diet.,icon_dung,4,0
80,Trap Tool,3,2,200,20,A must-have item for putting together Pitfall Traps and other kinds of traps.,icon_traptool,2,0
81,Spider Web,1,10,60,6,A very sticky web.,icon_web,0,0
82,Net,2,10,108,54,A sturdy net able to support a certain amount of weight without breaking.,icon_web,0,0
83,Pitfall Trap,3,1,462,230,A trap for catching certain large monsters. It is tripped by a heavy weight.,icon_trap,2,0
84,Shock Trap,3,1,320,160,A trap that immobilizes a target. Use it to capture monsters.,icon_trap,5,0
85,Barrel Lid,5,99,100,10,A small barrel lid. There appears to be a drawing on it.,icon_barrel,10,0
86,Small Barrel,1,10,80,8,"A small, empty barrel.",icon_barrel,4,0
87,Large Barrel,2,10,210,21,"A large, empty barrel.",icon_barrel,1,0
88,Barrel Bomb S,2,10,156,16,A small time bomb.,icon_barrel_bomb,4,0
89,Barrel Bomb L,3,3,518,52,A powerful bomb triggered by external physical impact.,icon_barrel_bomb,1,0
90,Barrel Bomb L+,4,2,800,80,Upgraded Large Barrel Bomb. Effective against large monsters.,icon_barrel_bomb,1,0
91,Bounce Bomb,2,10,150,18,Launches into the air when set. This modified bomb requires skill to use.,icon_barrel_bomb,3,0
92,Bounce Bomb+,4,10,680,68,An improved version of the Bounce Bomb. Requires some skill to use.,icon_barrel_bomb,3,0
94,Affinity Oil,4,5,140,14,"A red oil for the Sword & Shield. Once applied, it greatly increases Affinity.",icon_bottle,1,0
95,Destroyer Oil,4,5,250,25,A green oil for the Sword and Shield. Makes it easier to stagger your target.,icon_bottle,2,0
96,Stamina Oil,4,5,140,14,"A blue oil for the Sword & Shield. Once applied, it will drain monsters' stamina.",icon_bottle,6,0
97,Mind's Eye Oil,4,5,250,25,"A white oil for the Sword & Shield. Once applied, your attacks cannot be deflected.",icon_bottle,0,0
98,Huskberry,1,99,2,1,A berry that is hollow on the inside. Tough enough to grow just about anywhere.,icon_husk,10,0
99,Bone Husk,2,99,30,3,Used as a bone ammo casing. Produces sturdier results than a Huskberry.,icon_husk,0,0
100,Normal S Lv1,1,1,1,0,"Ammo for novices. Cheap, but don't expect much. Unlimited shots.",icon_ammo,0,0
101,Normal S Lv2,1,99,3,1,Non-specialized ammo. More powerful than Lv1. Capacity: 99,icon_ammo,0,0
102,Normal S Lv3,2,99,5,2,"Non-specialized ammo that ricochets, resulting in high damage. Capacity: 99",icon_ammo,0,0
103,Pierce S Lv1,2,60,12,1,Armor-piercing ammo that deals multiple hits to some monsters. Capacity: 60,icon_ammo,0,0
104,Pierce S Lv2,2,60,16,2,High-grade armor-piercing ammo. Deals more hits than Lv1. Capacity: 60,icon_ammo,0,0
105,Pierce S Lv3,3,60,22,3,Max-grade armor-piercing ammo. Deals numerous hits. Capacity: 60,icon_ammo,0,0
106,Pellet S Lv1,2,80,4,1,Ammo that covers a wide area. Deals multiple hits at close range. Capacity: 80,icon_ammo,0,0
107,Pellet S Lv2,2,70,8,2,High-grade ammo that covers a wide area. Deals more hits than Lv1. Capacity: 70,icon_ammo,0,0
108,Pellet S Lv3,3,60,12,2,Max-grade ammo that covers a wide area. Deals numerous hits. Capacity: 60,icon_ammo,0,0
109,Crag S Lv1,3,9,41,4,Powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9,icon_ammo,0,0
110,Crag S Lv2,3,9,66,7,Very powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9,icon_ammo,0,0
111,Crag S Lv3,3,9,70,7,Extremely powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9,icon_ammo,0,0
112,Clust S Lv1,2,3,38,4,Ammo that fragments into three shells upon impact. Beware of friendly fire! Capacity: 3,icon_ammo,0,0
113,Clust S Lv2,3,3,63,6,Ammo that fragments into four shells upon impact. Beware of friendly fire! Capacity: 3,icon_ammo,0,0
114,Clust S Lv3,3,3,99,10,Ammo that fragments into five shells upon impact. Beware of friendly fire! Capacity: 3,icon_ammo,0,0
115,Flaming S Lv1,3,60,20,2,Ammo that packs extra punch against monsters susceptible to Fire. Capacity: 60,icon_ammo,1,0
116,Water S Lv1,3,60,20,2,Ammo that packs extra punch against monsters susceptible to Water. Capacity: 60,icon_ammo,6,0
117,Thunder S Lv1,3,60,20,2,Ammo that packs extra punch against monsters susceptible to Thunder. Capacity: 60,icon_ammo,4,0
118,Freeze S Lv1,3,60,20,2,Ammo that packs extra punch against monsters susceptible to Ice. Capacity: 60,icon_ammo,3,0
119,Dragon S Lv1,5,3,100,10,Mysterious ammo that won't work in regular Bowguns. Capacity: 3,icon_ammo,1,0
120,Poison S Lv1,2,12,17,2,"Poisons target, but may require several shots. Capacity: 12",icon_ammo,5,0
121,Poison S Lv2,3,12,24,2,Enhanced ammo that inflicts Poison. Some targets require multiple shots. Capacity: 12,icon_ammo,5,0
122,Para S Lv1,3,12,26,3,Ammo that causes Paralysis. Some targets require multiple shots. Capacity: 12,icon_ammo,4,0
123,Para S Lv2,4,8,54,5,Enhanced ammo that causes Paralysis. Some targets require multiple shots. Capacity: 8,icon_ammo,4,0
124,Sleep S Lv1,3,12,17,2,Ammo that induces Sleep. Some targets require multiple shots. Capacity: 12,icon_ammo,6,0
125,Sleep S Lv2,4,8,35,3,Enhanced ammo that induces Sleep. Some targets require multiple shots. Capacity: 8,icon_ammo,6,0
126,Exhaust S Lv1,2,12,25,3,Special ammo that drains monsters' stamina. Capacity: 12,icon_ammo,3,0
127,Exhaust S Lv2,3,8,45,5,Enhanced special ammo that drains monsters' stamina. Capacity: 8,icon_ammo,3,0
128,Recover S Lv1,1,12,8,2,Ammo that restores a small amount of Health to an ally upon impact. Capacity: 12,icon_ammo,2,0
129,Recover S Lv2,2,12,15,2,Ammo that restores a moderate amount of Health to an ally upon impact. Capacity: 12,icon_ammo,2,0
130,Paint S,1,99,20,6,Ammo that marks a monster's position on your Map for a limited time. Capacity: 99,icon_ammo,8,0
131,Tranq S,4,8,45,4,Bowgun ammo used to capture monsters ensnared in traps. Capacity: 8,icon_ammo,1,0
207,Empty Phial,1,99,5,1,"A regular old empty phial. Nothing more, nothing less.",icon_bottle_empty,0,0
208,Power Coating Lv1,2,50,21,2,An arrow coating that increases the Attack of arrows. Capacity: 50,icon_bottle,1,0
209,Power Coating Lv2,2,50,32,3,An arrow coating that greatly increases the Attack of arrows. Capacity: 50,icon_bottle,1,0
210,Elem Coating Lv1,3,20,21,2,An arrow coating that increases the elemental damage of arrows. Capacity: 20,icon_bottle,8,0
211,Elem Coating Lv2,3,20,32,3,An arrow coating that greatly increases the elemental damage of arrows. Capacity: 20,icon_bottle,8,0
212,C.Range Coating,3,20,27,3,An arrow coating that increases close-range power and melee Sharpness. Capacity: 20,icon_bottle,0,0
213,Poison Coating,3,20,17,2,An arrow coating that applies Poison effects to arrows. Capacity: 20,icon_bottle,5,0
214,Para Coating,3,20,26,3,An arrow coating that applies Paralysis effects to arrows. Capacity: 20,icon_bottle,4,0
215,Sleep Coating,3,20,17,2,An arrow coating that applies Sleep effects to arrows. Capacity: 20,icon_bottle,6,0
216,Exhaust Coating,3,20,19,2,An arrow coating that causes arrows to drain monsters' stamina. Capacity: 20,icon_bottle,3,0
217,Blast Coating,3,20,20,6,An arrow coating that applies explosive powder to arrows. Capacity: 20,icon_bottle,9,0
218,Paint Coating,1,99,20,6,An arrow coating that marks a monster's position on the Map for a limited time. Capacity: 99,icon_bottle,8,0
219,Larval Extract,5,99,2400,240,"Highly aromatic, combine with Jelly or Ambrosia to create wholesome food for Kinsects.",icon_nectar,1,0
220,Paralarval Extract,6,99,3200,320,"Highly fragrant, combine with Jelly or Ambrosia to make nutritious food for Kinsects.",icon_nectar,3,0
221,Power Jelly,4,99,1000,100,Tree sap loved by Kinsects. Perfect for growing strong and healthy Kinsects!,icon_nectar,8,0
222,Heavy Jelly,4,99,1000,100,Tree sap loved by Kinsects. Perfect for aiding robust Kinsect development!,icon_nectar,7,0
223,Speed Jelly,4,99,1000,100,Tree sap loved by Kinsects. Perfect for aiding rapid Kinsect development!,icon_nectar,0,0
224,Fire Ambrosia,4,99,1000,100,A sweet nectar loved by Kinsects; increases their Fire Element strength.,icon_nectar,1,0
225,Water Ambrosia,4,99,1000,100,A sweet nectar loved by Kinsects; increases their Water Element strength.,icon_nectar,3,0
226,Thunder Ambrosia,4,99,1000,100,A sweet nectar loved by Kinsects; increases their Thunder Element strength.,icon_nectar,4,0
227,Ice Ambrosia,4,99,1000,100,A sweet nectar loved by Kinsects; increases their Ice Element strength.,icon_nectar,6,0
228,Dragon Ambrosia,4,99,1000,100,A sweet nectar loved by Kinsects; increases their Dragon Element strength.,icon_nectar,5,0
229,Power Jelly+,5,99,2400,240,Thick tree sap loved by Kinsects. Perfect for growing strong and healthy Kinsects!,icon_nectar,8,0
230,Heavy Jelly+,5,99,2400,240,Thick tree sap loved by Kinsects. Perfect for aiding robust Kinsect development!,icon_nectar,7,0
231,Speed Jelly+,5,99,2400,240,Thick tree sap loved by Kinsects. Perfect for aiding rapid Kinsect development!,icon_nectar,0,0
232,Power Jelly++,6,99,3200,320,Very thick tree sap loved by Kinsects. Perfect for growing strong and healthy Kinsects!,icon_nectar,8,0
233,Heavy Jelly++,6,99,3200,320,Very thick tree sap loved by Kinsects. Perfect for aiding robust Kinsect development!,icon_nectar,7,0
234,Speed Jelly++,6,99,3200,320,Very thick tree sap loved by Kinsects. Perfect for aiding rapid Kinsect development!,icon_nectar,0,0
235,Fire Ambrosia+,5,99,2400,240,A sweet nectar loved by Kinsects; greatly increases Fire Element strength.,icon_nectar,1,0
236,Water Ambrosia+,5,99,2400,240,A sweet nectar loved by Kinsects; greatly increases Water Element strength.,icon_nectar,3,0
237,Thunder Ambrosia+,5,99,2400,240,A sweet nectar loved by Kinsects; greatly increases Thunder Element strength.,icon_nectar,4,0
238,Ice Ambrosia+,5,99,2400,240,A sweet nectar loved by Kinsects; greatly increases Ice Element strength.,icon_nectar,6,0
239,Dragon Ambrosia+,5,99,2400,240,A sweet nectar loved by Kinsects; greatly increases Dragon Element strength.,icon_nectar,5,0
240,Douse Ambrosia,5,99,1800,180,A sour nectar that reduces Fire Element strength and increases Dragon.,icon_nectar,14,0
241,Drought Ambrosia,5,99,1800,180,A sour nectar that reduces Water Element strength and increases Fire.,icon_nectar,15,0
242,Resistor Ambrosia,5,99,1800,180,A sour nectar that reduces Thunder Element strength and increases Water.,icon_nectar,11,0
243,Melt Ambrosia,5,99,1800,180,A sour nectar that reduces Ice Element strength and increases Thunder.,icon_nectar,12,0
244,De-wyrm Ambrosia,5,99,1800,180,A sour nectar that reduces Dragon Element strength and increases Ice.,icon_nectar,16,0
245,Reverse Ambrosia,4,99,4000,10,A nectar made by a Kinsect breeder; causes them to lose all of their Element strengths.,icon_nectar,10,0
246,Alchemy Barrel,9,1,0,0,A hunting tool used by Alchemy Style Hunters. You can shake it to create new items.,icon_barrel,11,0
247,Alchemy Food,3,10,0,0,"Eat to restore some Stamina. It goes down a treat, but does leave you a bit thirsty.",icon_meat,11,0
248,Alchemy Immunizer,3,10,0,0,Eat this and your Health will gradually restore for a short time. It even smells healthy!,icon_seed,11,0
249,Alchemy Earplugs,3,3,0,0,These earplugs protect your delicate ears from loud monster roars...once. Talk about fragile.,icon_sac,11,0
250,Alchemy Slick,4,1,0,0,Crystallized Alchemy Barrel contents. Why not try combining it with other Alchemy Items?,icon_wyvern_crystal,11,0
251,Alchemy Cheer,5,1,0,0,Fills up some of your (and nearby allies') Arts Gauge and/or Support Gauge.,icon_smoke,11,0
252,Alchemy Whetstone,3,8,0,0,Use this to restore your weapon's Sharpness and have your Arts Gauge fill faster for a while.,icon_whetstone,11,0
253,Alchemy Bullet,3,30,0,0,"Alchemy-created ammo that fills your Arts Gauge faster (when it hits, that is). Capacity: 30",icon_ammo,11,0
254,Alchemy Coating,3,20,0,0,"Works with any Bow, and fills up your Arts Gauge a bit quicker. Capacity: 20",icon_bottle,11,0
255,Alchemy Sonic Bomb,4,3,0,0,Launches a bird-like puppet that emits a screech that small monsters can't stand.,icon_monster_jewel,11,0
256,Alchemy Booster,4,1,0,0,This liquid of purest Alchemy allows your Alchemy Gauge to fill more quickly for a while.,icon_liquid,11,0
257,Alchemy Fireball,5,3,0,0,This fireball blasts out of your Alchemy Barrel and explodes on impact.,icon_egg,11,0
258,Alchemy Remedy,5,1,0,0,Restores some Health and removes status afflictions from you and nearby allies.,icon_barrel,11,0
259,Worm,1,10,20,2,"A fishing lure. Wriggles underwater, enticing those fishies to bite.",icon_bait,10,0
260,Mega Fishing Fly,3,10,30,3,A fly lure that causes a feeding frenzy no matter what fish is biting.,icon_bait,8,0
261,Frog,2,10,150,15,A fishing lure. The ideal bait for certain aquatic monsters.,icon_bait,3,0
262,Sushifish Bait,2,5,20,2,"A nugget-shaped fishing lure that makes Sushifish go ""mmm.""",icon_bait,7,0
263,Burst Bait,2,5,70,7,"A fishing lure with chum that makes fish that rupture upon death go ""mmm.""",icon_bait,1,0
264,Goldenfish Bait,4,5,300,30,"A nugget-shaped fishing lure that makes Goldenfish and Brocadefish go ""mmm.""",icon_bait,4,0
265,Field Horn,2,1,480,48,Used to attract certain monsters -- blow at your own risk. May break when used.,icon_flute,4,0
266,Health Flute,4,1,1660,550,Restores Health to those who hear it. May break when used.,icon_flute,2,0
267,Antidote Flute,4,1,1560,270,Eliminates poison in the blood of those who hear it. May break when used.,icon_flute,3,0
268,Demon Flute,5,1,3240,1080,Increases the strength of those who hear it. May break when used.,icon_flute,1,0
269,Armor Flute,5,1,2960,986,Bolsters the defenses of those who hear it. May break when used.,icon_flute,7,0
270,Garbage,1,99,10,1,Junk created when a combination attempt fails.,icon_question_mark,10,0
271,Honey,2,10,90,45,"Sweet, golden honey. High in nutritional value.",icon_webbing,7,0
272,Herb,1,10,20,2,Restores a very small amount of Health. Not very flavorful.,icon_herb,2,0
273,Antidote Herb,1,10,20,2,A plant used in antidotes. It sometimes cures poison when eaten by itself.,icon_herb,3,0
274,Fire Herb,2,20,44,4,"A wondrous, flammable plant.",icon_herb,1,0
275,Ivy,1,10,75,8,A lightweight and extremely strong plant.,icon_herb,2,0
276,Sleep Herb,1,10,50,5,A plant containing sleeping agents.,icon_herb,6,0
277,Sap Plant,1,30,24,2,A plant with leaves coated in sticky sap. Difficult to remove once attached.,icon_herb,0,0
278,Felvine,1,10,14,1,Melynxes' favorite food -- they just have to steal it.,icon_herb,4,0
279,Gloamgrass Root,2,10,100,10,"Possesses antidotal agents, but it will not work by itself.",icon_herb,8,0
280,Hot Pepper,2,10,44,4,"Blazingly spicy. Sure, it'll warm you up, but it's too hot to handle on its own.",icon_herb,1,0
281,Snow Herb,2,20,64,6,A radiant plant admired for the lovely white patterns on its leaves. It's as cold as ice.,icon_herb,3,0
282,Spicy Mushroom,2,5,108,54,A mushroom with bite that recovers a small amount of Stamina.,icon_mushroom,7,0
283,Frozen Berry,2,5,108,54,A completely frozen berry. Can provide relief from heat and recover Stamina.,icon_seed,8,0
284,King Cactus,4,99,5000,500,"The ultimate cactus plant, just touching its spines can put you in a world of hurt.",icon_herb,2,0
285,Dosbiscus,5,99,200,20,"A large, beautifully colored flowering plant foreign to this land.",icon_herb,1,0
286,Heftcorn,4,99,5000,500,Gigantic corn that's difficult to cultivate in this region. It's packed with kernels.,icon_herb,4,0
287,Stargazer Flower,4,99,1200,120,A plant that looks to the heavens when it blooms. Its petals are used to make dye.,icon_herb,1,0
288,Prismatic Dandelion,6,99,1500,150,A pretty dandelion with petals of various colors. It's used for making dyes.,icon_herb,1,0
289,Immaculate Ore,8,99,800,80,This piece of ore is small but somehow perfect. Used for forging and upgrading armor.,icon_ore,3,0
290,Dragonvine,6,99,6000,600,"Legend says that wherever an ancient dragon stepped, this vine grew. Used to make armor.",icon_herb,5,0
291,Tough Dragonvine,8,99,8000,800,This high quality vine is said to grow where ancient dragons slept. Used to make armor.,icon_herb,16,0
292,Blue Mushroom,2,10,24,2,Rare mushroom with a power-enhancing effect.,icon_mushroom,3,0
293,Nitroshroom,2,20,60,6,A hard-to-find mushroom with the power to generate blazing heat.,icon_mushroom,1,0
294,Parashroom,3,10,150,15,A mushroom that induces paralysis.,icon_mushroom,4,0
295,Toadstool,2,10,75,8,"Logic says not to eat this poisonous fungus, but don't write it off completely.",icon_mushroom,5,0
296,Mopeshroom,2,10,90,9,A mushroom that contains a Stamina-stealing constituent.,icon_mushroom,6,0
297,Exciteshroom,3,10,180,18,This one has a very strange aroma... But is it edible? Only one way to find out.,icon_mushroom,5,0
298,Dragon Toadstool,3,10,400,40,A dangerous fungus said to draw the life out of people. Beware.,icon_mushroom,1,0
299,Chaos Mushroom,5,99,400,40,A mushroom that invites disarray. Its spores cause monsters to hallucinate.,icon_mushroom,5,0
300,Bindshroom,5,99,400,40,"A giant paralyzing mushroom. Just one touch can immobilize you, so handle with care!",icon_mushroom,4,0
301,Reststool,4,99,2500,250,"A large, poisonous mushroom. It looks like a comfy chair, but it's not worth the risk.",icon_mushroom,1,0
302,Paintberry,1,99,60,6,A berry with a shocking hue and an overwhelming scent. Look out: it WILL stain!,icon_seed,8,0
303,Might Seed,2,10,280,140,Temporarily raises your Attack when ingested by improving energy flow.,icon_seed,1,0
304,Adamant Seed,2,10,220,110,Temporarily raises your Defense when ingested by hardening tissue.,icon_seed,7,0
305,Nulberry,2,10,1200,120,A mysterious berry that cures various Blights and also protects from unknown viruses.,icon_seed,3,0
306,Dragonfell Berry,4,10,780,78,"A mysterious berry, rumored since ancient times to be loathed by dragons.",icon_seed,1,0
307,Scatternut,2,30,82,4,A nut that violently ejects its contents when struck.,icon_seed,10,0
308,Needleberry,1,99,22,1,A berry covered with needle- like thorns. Used as a material for ammo.,icon_seed,10,0
309,Latchberry,1,60,40,4,A berry with spiral grooves. It spins when it falls to firmly embed itself in soil.,icon_seed,6,0
310,Bomberry,2,10,120,12,A berry that explodes when struck.,icon_seed,10,0
311,Bumblepumpkin,5,99,200,20,"A trendy orange pumpkin. If left undisturbed, it can grow to gigantic proportions.",icon_seed,7,0
312,Giant Acorn,4,99,1300,130,An extremely large and firm acorn. The tree that it grows from is said to be gigantic.,icon_seed,7,0
313,Spiky Acorn,4,99,1200,120,An acorn with a very sharp tip. It's especially hard before it turns ripe.,icon_seed,7,0
314,Yukumo Wood,4,99,500,50,A hearty tree that grows near Yukumo Village. It's pliable and easy to craft.,icon_wood,4,0
315,Yukumo Hardwood,6,99,3500,350,A tree of high quality that grows near Yukumo Village. It's widely used as lumber.,icon_wood,7,0
316,Yukumo Stoutwood,8,99,6500,650,"A sturdy tree that grows near Yukumo Village. It's so rare, you can't buy the wood anywhere.",icon_wood,11,0
317,Stone,1,99,10,1,A small rock. Can be thrown.,icon_ore,10,0
318,Iron Ore,4,99,600,60,Ore that can be smelted into metal and used for many different purposes.,icon_ore,10,0
319,Earth Crystal,4,99,800,80,Crystallized microbes which are prized as an abrasive when forging weapons.,icon_ore,0,0
320,Machalite Ore,4,99,1600,160,An ore that yields better metals than Iron Ore. Used to make Machalite.,icon_ore,3,0
321,Disc Stone,4,99,680,68,A disc-shaped stone. Not recommended to throw at your friends.,icon_ore,10,0
322,Ice Crystal,4,20,180,60,Ice that will not melt at room temperature. Can be used to create denser ore.,icon_ore,6,0
